code,name,start_date,end_date
000001,平安银行,2005-04-08,
000002,万科A,2005-04-08,
000008,神州高铁,2016-12-12,2018-06-11
000009,深宝安Ａ,2005-04-08,2017-12-11
000012,南玻Ａ,2005-04-08,2014-12-15
000016,深康佳Ａ,2005-04-08,2006-07-03
000021,深科技Ａ,2005-04-08,2013-01-04
000022,深赤湾Ａ,2005-04-08,2007-07-02
000024,招商地产,2005-04-08,2015-12-30
000027,深能源Ａ,2005-04-08,2012-07-02
000027,深能源Ａ,2013-07-01,2013-12-16
000027,深能源Ａ,2014-06-16,2017-06-12
000029,深深房Ａ,2005-04-08,2005-07-01
000029,深深房Ａ,2006-07-03,2008-07-01
000031,深宝恒Ａ,2005-04-08,2012-01-04
000036,华联控股,2005-04-08,2009-01-05
000039,中集集团,2005-04-08,2017-06-12
000046,泛海建设,2007-07-02,2011-07-01
000046,泛海建设,2012-07-02,2014-06-16
000046,泛海建设,2015-06-15,2016-12-12
000059,辽通化工,2005-07-01,2013-12-16
000060,中金岭南,2005-04-08,2018-12-17
000061,农产品,2005-04-08,2017-06-12
000063,中兴通讯,2005-04-08,
000066,长城电脑,2005-04-08,2008-01-02
000066,长城电脑,2020-06-15,2022-12-12
000068,赛格三星,2005-04-08,2008-01-02
000069,华侨城Ａ,2005-04-08,2024-06-17
000088,盐田港Ａ,2005-04-08,2009-07-01
000089,深圳机场,2005-04-08,2011-01-04
000096,广聚能源,2005-04-08,2006-01-04
000099,中信海直,2005-07-01,2007-07-02
000100,TCL科技,2005-04-08,2007-07-02
000100,TCL科技,2009-01-05,
000156,华数传媒,2013-07-01,2017-12-11
000157,中联重科,2005-04-08,
000166,申万宏源,2015-01-26,
000301,东方盛虹,2008-03-11,2010-07-01
000301,东方盛虹,2021-12-13,
000333,美的集团,2013-09-18,
000338,潍柴动力,2008-01-02,
000400,许继电气,2005-04-08,2008-07-01
000400,许继电气,2013-12-16,2016-06-13
000401,冀东水泥,2005-04-08,2015-06-15
000402,金融街,2005-04-08,2019-12-16
000406,石油大明,2005-04-08,2006-04-17
000408,藏格矿业,2018-12-17,2019-12-16
000408,藏格矿业,2022-06-13,
000410,沈阳机床,2005-04-08,2009-01-05
000413,东旭光电,2014-06-16,2020-06-15
000415,渤海租赁,2015-12-14,2020-06-15
000420,吉林化纤,2005-04-08,2006-01-04
000422,湖北宜化,2006-01-04,2013-12-16
000423,东阿阿胶,2005-04-08,2007-07-02
000423,东阿阿胶,2008-01-02,2020-06-15
000425,徐工机械,2005-04-08,
000429,粤高速Ａ,2005-04-08,2006-07-03
000488,晨鸣纸业,2005-04-08,2011-01-04
000498,丹东化纤,2005-04-08,2006-01-04
000503,海虹控股,2005-04-08,2009-07-01
000503,海虹控股,2014-06-16,2019-06-17
000507,粤富华,2005-04-08,2006-07-03
000511,银基发展,2005-04-08,2006-07-03
000518,四环生物,2005-04-08,2007-01-04
000520,中国凤凰,2005-04-08,2007-07-02
000527,美的电器,2005-04-08,2013-09-18
000528,桂柳工Ａ,2005-04-08,2014-06-16
000532,力合股份,2005-04-08,2005-07-01
000533,万家乐Ａ,2005-04-08,2006-07-03
000536,华映科技,2011-07-01,2012-01-04
000536,华映科技,2013-12-16,2015-06-15
000538,云南白药,2005-07-01,
000539,粤电力Ａ,2005-04-08,2009-07-01
000539,粤电力Ａ,2013-07-01,2013-12-16
000539,粤电力Ａ,2015-06-15,2016-06-13
000540,中天城投,2015-12-14,2018-12-17
000541,佛山照明,2005-04-08,2009-01-05
000543,皖能电力,2005-04-08,2006-07-03
000543,皖能电力,2008-01-02,2010-01-04
000550,江铃汽车,2005-04-08,2008-07-01
000553,沙隆达A,2018-12-17,2019-12-16
000555,神州信息,2016-12-12,2017-12-11
000559,万向钱潮,2005-04-08,2010-07-01
000559,万向钱潮,2011-07-01,2013-07-01
000559,万向钱潮,2014-12-15,2018-12-17
000562,宏源证券,2005-04-08,2005-07-01
000562,宏源证券,2006-07-03,2015-01-26
000568,泸州老窖,2005-04-08,
000571,新大洲Ａ,2005-04-08,2006-07-03
000572,海马股份,2008-01-02,2009-01-05
000573,粤宏远Ａ,2005-04-08,2006-07-03
000581,威孚高科,2005-04-08,2009-01-05
000581,威孚高科,2012-01-04,2016-06-13
000596,古井贡酒,2013-01-04,2014-06-16
000596,古井贡酒,2019-06-17,
000598,兴蓉投资,2013-12-16,2016-06-13
000599,G双星,2006-01-04,2006-07-19
000601,韶能股份,2005-04-08,2007-07-02
000607,华立控股,2005-07-01,2007-01-04
000612,焦作万方,2005-04-08,2006-01-04
000612,焦作万方,2007-07-02,2012-01-04
000617,中油资本,2006-07-03,2008-01-02
000617,中油资本,2023-06-12,
000618,吉林化工,2005-07-01,2006-01-04
000623,吉林敖东,2005-04-08,2008-01-02
000623,吉林敖东,2009-01-05,2018-12-17
000625,长安汽车,2005-04-08,
000627,天茂集团,2016-12-12,2021-06-15
000629,新钢钒,2005-04-08,2010-01-04
000629,新钢钒,2012-01-04,2016-06-13
000629,新钢钒,2019-06-17,2020-06-15
000630,铜陵有色,2005-04-08,2020-06-15
000630,铜陵有色,2024-12-16,
000631,顺发恒业,2010-01-04,2011-01-04
000636,风华高科,2005-04-08,2009-01-05
000651,格力电器,2005-04-08,
000652,G泰达,2006-01-04,2011-07-01
000656,金科股份,2013-07-01,2014-12-15
000656,金科股份,2019-06-17,2021-12-13
000657,中钨高新,2026-06-15,
000659,珠海中富,2005-04-08,2007-01-04
000661,长春高新,2018-12-17,2026-06-15
000666,经纬纺机,2005-04-08,2006-07-03
000667,名流置业,2008-07-01,2011-07-01
000671,阳光城,2016-12-12,2021-06-15
000680,山推股份,2005-04-08,2013-01-04
000682,东方电子,2005-04-08,2008-07-01
000685,中山公用,2009-07-01,2012-01-04
000686,东北证券,2008-07-01,2018-06-11
000690,宝新能源,2007-07-02,2008-01-02
000690,宝新能源,2009-01-05,2012-01-04
000698,沈阳化工,2005-04-08,2007-07-02
000703,恒逸石化,2012-07-02,2014-06-16
