effective_date,publish_date,ann_id,kind,n_add,n_remove,n_before,n_after
2005-07-01,2005-06-22,87,temporary,14,14,300,300
2006-01-04,2005-12-20,1593,temporary,14,14,300,300
2006-04-17,2006-04-14,92,temporary,4,4,300,300
2006-07-03,2006-06-12,67,regular,30,30,300,300
2006-07-19,2006-07-06,1589,temporary,1,1,300,300
2006-08-15,2006-08-02,85,temporary,1,1,300,300
2006-11-10,2006-10-28,83,temporary,1,1,300,300
2007-01-04,2006-12-11,6575,regular,30,30,300,300
2007-01-23,2007-01-10,5398,temporary,1,1,300,300
2007-02-26,2007-02-06,75,temporary,1,1,300,300
2007-03-15,2007-03-02,81,temporary,1,1,300,300
2007-04-30,2007-04-27,79,temporary,2,2,300,300
2007-05-18,2007-04-30,77,temporary,1,1,300,300
2007-05-29,2007-05-16,73,temporary,1,1,300,300
2007-07-02,2007-06-11,1585,regular,28,28,300,300
2007-10-23,2007-10-10,61,temporary,1,1,300,300
2007-11-19,2007-11-06,56,temporary,1,1,300,300
2007-12-26,2007-12-25,47,temporary,1,1,300,300
2008-01-02,2007-12-10,5419,regular,30,30,300,300
2008-03-11,2008-03-10,38,temporary,1,1,300,300
2008-07-01,2008-06-04,14,regular,19,19,300,300
2009-01-05,2008-12-15,892,regular,18,18,300,300
2009-07-01,2009-06-15,1089,regular,24,24,300,300
2010-01-04,2009-12-14,1205,regular,16,16,300,300
2010-01-04,2009-12-29,1335,supplement,2,2,300,300
2010-07-01,2010-06-17,1385,regular,18,18,300,300
2010-07-29,2010-07-16,1607,temporary,1,1,300,300
2011-01-04,2010-12-13,6150,regular,26,26,300,300
2011-07-01,2011-06-13,2714,regular,23,23,300,300
2011-08-08,2011-08-05,792,temporary,1,1,300,300
2012-01-04,2011-12-12,6687,regular,24,24,300,300
2012-07-02,2012-06-11,6699,regular,18,18,300,300
2013-01-04,2012-12-17,3242,regular,15,15,300,300
2013-07-01,2013-06-17,2723,regular,16,16,300,300
2013-09-18,2013-08-13,3453,temporary,1,1,300,300
2013-12-16,2013-12-02,6750,regular,21,21,300,300
2014-06-16,2014-06-03,3670,regular,26,26,300,300
2014-12-15,2014-12-01,3596,regular,22,22,300,300
2015-01-26,2015-01-22,6271,temporary,1,1,300,300
2015-05-15,2015-05-14,6802,temporary,2,2,300,300
2015-06-15,2015-06-01,4084,regular,18,18,300,300
2015-12-14,2015-11-30,4272,regular,20,20,300,300
2015-12-30,2015-12-28,2882,temporary,1,1,300,300
2016-06-13,2016-05-30,3855,regular,24,24,300,300
2016-12-12,2016-11-28,4003,regular,30,30,300,300
2017-02-10,2017-02-09,4794,temporary,1,1,300,300
2017-06-12,2017-05-31,12583,regular,30,30,300,300
2017-12-11,2017-11-27,12590,regular,24,24,300,300
2018-06-11,2018-05-28,11518,regular,27,27,300,300
2018-12-17,2018-12-03,11859,regular,24,24,300,300
2019-06-17,2019-06-03,11379,regular,19,19,300,300
2019-12-16,2019-12-02,11529,regular,16,16,300,300
2020-06-15,2020-06-01,11429,regular,21,21,300,300
2020-12-14,2020-11-27,11514,regular,26,26,300,300
2021-06-15,2021-05-28,12470,regular,25,25,300,300
2021-12-13,2021-11-26,13888,regular,28,28,300,300
2022-06-13,2022-05-27,14223,regular,28,28,300,300
2022-12-12,2022-11-25,14497,regular,15,15,300,300
2023-06-12,2023-05-26,14796,regular,9,9,300,300
2023-12-11,2023-11-24,15044,regular,14,14,300,300
2024-06-17,2024-05-31,15267,regular,12,12,300,300
2024-12-16,2024-11-29,15471,regular,16,16,300,300
2025-02-07,2025-02-06,15546,temporary,1,1,300,300
2025-06-16,2025-05-30,15690,regular,7,7,300,300
2025-08-13,2025-07-25,1006022,temporary,1,1,300,300
2025-12-15,2025-11-28,3006000,regular,11,11,300,300
2026-06-15,2026-05-29,3006137,regular,19,19,300,300
