code,sector_index,sector,as_of
002353,000908,能源,20260910
600028,000908,能源,20260910
600188,000908,能源,20260910
600938,000908,能源,20260910
601088,000908,能源,20260910
601225,000908,能源,20260910
601857,000908,能源,20260910
601898,000908,能源,20260910
000301,000909,原材料,20260910
000408,000909,原材料,20260910
000630,000909,原材料,20260910
000657,000909,原材料,20260910
000708,000909,原材料,20260910
000792,000909,原材料,20260910
000807,000909,原材料,20260910
000975,000909,原材料,20260910
001280,000909,原材料,20260910
002460,000909,原材料,20260910
002466,000909,原材料,20260910
002493,000909,原材料,20260910
002532,000909,原材料,20260910
002648,000909,原材料,20260910
600010,000909,原材料,20260910
600019,000909,原材料,20260910
600111,000909,原材料,20260910
600160,000909,原材料,20260910
600176,000909,原材料,20260910
600219,000909,原材料,20260910
600309,000909,原材料,20260910
600346,000909,原材料,20260910
600362,000909,原材料,20260910
600426,000909,原材料,20260910
600489,000909,原材料,20260910
600547,000909,原材料,20260910
600549,000909,原材料,20260910
600585,000909,原材料,20260910
600989,000909,原材料,20260910
601600,000909,原材料,20260910
601899,000909,原材料,20260910
603260,000909,原材料,20260910
603799,000909,原材料,20260910
603993,000909,原材料,20260910
000157,000910,工业,20260910
000338,000910,工业,20260910
000425,000910,工业,20260910
000768,000910,工业,20260910
001391,000910,工业,20260910
001965,000910,工业,20260910
002028,000910,工业,20260910
002074,000910,工业,20260910
002179,000910,工业,20260910
002202,000910,工业,20260910
002352,000910,工业,20260910
002625,000910,工业,20260910
002709,000910,工业,20260910
002837,000910,工业,20260910
300014,000910,工业,20260910
300124,000910,工业,20260910
300274,000910,工业,20260910
300316,000910,工业,20260910
300450,000910,工业,20260910
300750,000910,工业,20260910
302132,000910,工业,20260910
600009,000910,工业,20260910
600018,000910,工业,20260910
600026,000910,工业,20260910
600029,000910,工业,20260910
600031,000910,工业,20260910
600039,000910,工业,20260910
600066,000910,工业,20260910
600089,000910,工业,20260910
600115,000910,工业,20260910
600118,000910,工业,20260910
600150,000910,工业,20260910
600221,000910,工业,20260910
600233,000910,工业,20260910
600372,000910,工业,20260910
600406,000910,工业,20260910
600415,000910,工业,20260910
600438,000910,工业,20260910
600482,000910,工业,20260910
600515,000910,工业,20260910
600760,000910,工业,20260910
600875,000910,工业,20260910
600893,000910,工业,20260910
601006,000910,工业,20260910
601012,000910,工业,20260910
601018,000910,工业,20260910
601021,000910,工业,20260910
601100,000910,工业,20260910
601111,000910,工业,20260910
601117,000910,工业,20260910
601186,000910,工业,20260910
601390,000910,工业,20260910
601618,000910,工业,20260910
601668,000910,工业,20260910
601669,000910,工业,20260910
601727,000910,工业,20260910
601766,000910,工业,20260910
601800,000910,工业,20260910
601816,000910,工业,20260910
601868,000910,工业,20260910
601872,000910,工业,20260910
601877,000910,工业,20260910
601919,000910,工业,20260910
605117,000910,工业,20260910
688009,000910,工业,20260910
688223,000910,工业,20260910
688303,000910,工业,20260910
688472,000910,工业,20260910
000333,000911,可选消费,20260910
000625,000911,可选消费,20260910
000651,000911,可选消费,20260910
002050,000911,可选消费,20260910
002594,000911,可选消费,20260910
002920,000911,可选消费,20260910
600104,000911,可选消费,20260910
600660,000911,可选消费,20260910
600690,000911,可选消费,20260910
600741,000911,可选消费,20260910
601058,000911,可选消费,20260910
601127,000911,可选消费,20260910
601238,000911,可选消费,20260910
601633,000911,可选消费,20260910
601689,000911,可选消费,20260910
601888,000911,可选消费,20260910
000568,000912,主要消费,20260910
000596,000912,主要消费,20260910
000858,000912,主要消费,20260910
000895,000912,主要消费,20260910
002304,000912,主要消费,20260910
002311,000912,主要消费,20260910
002714,000912,主要消费,20260910
300498,000912,主要消费,20260910
300999,000912,主要消费,20260910
600519,000912,主要消费,20260910
600600,000912,主要消费,20260910
600809,000912,主要消费,20260910
600887,000912,主要消费,20260910
603288,000912,主要消费,20260910
603369,000912,主要消费,20260910
605499,000912,主要消费,20260910
000538,000913,医药卫生,20260910
000963,000913,医药卫生,20260910
000999,000913,医药卫生,20260910
002001,000913,医药卫生,20260910
002422,000913,医药卫生,20260910
300015,000913,医药卫生,20260910
300122,000913,医药卫生,20260910
300760,000913,医药卫生,20260910
300832,000913,医药卫生,20260910
300896,000913,医药卫生,20260910
600085,000913,医药卫生,20260910
600196,000913,医药卫生,20260910
600276,000913,医药卫生,20260910
600436,000913,医药卫生,20260910
601607,000913,医药卫生,20260910
603259,000913,医药卫生,20260910
603392,000913,医药卫生,20260910
688271,000913,医药卫生,20260910
688506,000913,医药卫生,20260910
000001,000914,金融,20260910
000166,000914,金融,20260910
000617,000914,金融,20260910
000776,000914,金融,20260910
002142,000914,金融,20260910
002736,000914,金融,20260910
300059,000914,金融,20260910
600000,000914,金融,20260910
600015,000914,金融,20260910
600016,000914,金融,20260910
600030,000914,金融,20260910
600036,000914,金融,20260910
600061,000914,金融,20260910
600918,000914,金融,20260910
600919,000914,金融,20260910
600926,000914,金融,20260910
600958,000914,金融,20260910
600999,000914,金融,20260910
601009,000914,金融,20260910
601059,000914,金融,20260910
601066,000914,金融,20260910
601077,000914,金融,20260910
601136,000914,金融,20260910
601166,000914,金融,20260910
601169,000914,金融,20260910
601211,000914,金融,20260910
601229,000914,金融,20260910
601288,000914,金融,20260910
601318,000914,金融,20260910
601319,000914,金融,20260910
601328,000914,金融,20260910
601336,000914,金融,20260910
601377,000914,金融,20260910
601398,000914,金融,20260910
601456,000914,金融,20260910
601601,000914,金融,20260910
601628,000914,金融,20260910
601658,000914,金融,20260910
601688,000914,金融,20260910
601788,000914,金融,20260910
601818,000914,金融,20260910
601825,000914,金融,20260910
601838,000914,金融,20260910
601878,000914,金融,20260910
601881,000914,金融,20260910
601901,000914,金融,20260910
601916,000914,金融,20260910
601939,000914,金融,20260910
601988,000914,金融,20260910
601995,000914,金融,20260910
601998,000914,金融,20260910
000100,000915,信息技术,20260910
000725,000915,信息技术,20260910
000977,000915,信息技术,20260910
000988,000915,信息技术,20260910
002049,000915,信息技术,20260910
002230,000915,信息技术,20260910
002236,000915,信息技术,20260910
002241,000915,信息技术,20260910
002371,000915,信息技术,20260910
002384,000915,信息技术,20260910
002415,000915,信息技术,20260910
002463,000915,信息技术,20260910
002475,000915,信息技术,20260910
002600,000915,信息技术,20260910
002916,000915,信息技术,20260910
002938,000915,信息技术,20260910
300033,000915,信息技术,20260910
300408,000915,信息技术,20260910
300433,000915,信息技术,20260910
300476,000915,信息技术,20260910
300661,000915,信息技术,20260910
300803,000915,信息技术,20260910
300866,000915,信息技术,20260910
301236,000915,信息技术,20260910
301269,000915,信息技术,20260910
301308,000915,信息技术,20260910
600183,000915,信息技术,20260910
600460,000915,信息技术,20260910
600570,000915,信息技术,20260910
600584,000915,信息技术,20260910
600588,000915,信息技术,20260910
600845,000915,信息技术,20260910
601138,000915,信息技术,20260910
601360,000915,信息技术,20260910
603019,000915,信息技术,20260910
603296,000915,信息技术,20260910
603501,000915,信息技术,20260910
603893,000915,信息技术,20260910
603986,000915,信息技术,20260910
688008,000915,信息技术,20260910
688012,000915,信息技术,20260910
