code,status,n_days,first_date,last_date
000001,ok,5361,2004-01-02,2026-09-09
000002,ok,5310,2004-01-02,2026-09-09
000008,ok,5134,2004-01-02,2026-09-09
000009,ok,5308,2004-01-02,2026-09-09
000012,ok,5404,2004-01-02,2026-09-09
000016,ok,5336,2004-01-02,2026-09-03
000021,ok,5414,2004-01-02,2026-09-09
000022,ok,3284,2004-01-02,2018-12-20
000024,ok,2665,2004-01-02,2015-12-07
000027,ok,5383,2004-01-02,2026-09-09
000029,ok,4443,2004-01-02,2026-09-09
000031,ok,5223,2004-01-02,2026-09-09
000036,ok,5366,2004-01-02,2026-09-09
000039,ok,5416,2004-01-02,2026-09-09
000046,ok,4700,2004-01-02,2023-12-27
000059,ok,5340,2004-01-02,2026-09-09
000060,ok,5433,2004-01-02,2026-09-09
000061,ok,5228,2004-01-02,2026-09-09
000063,ok,5371,2004-01-02,2026-09-09
000066,ok,5206,2004-01-02,2026-09-09
000068,ok,4899,2004-01-02,2026-09-09
000069,ok,5384,2004-01-02,2026-09-09
000088,ok,5370,2004-01-02,2026-09-09
000089,ok,5453,2004-01-02,2026-09-09
000096,ok,5467,2004-01-02,2026-09-09
000099,ok,5348,2004-01-02,2026-09-09
000100,ok,5143,2004-01-30,2026-09-09
000156,ok,3734,2004-01-02,2026-09-09
000157,ok,5382,2004-01-02,2026-09-09
000166,ok,2796,2015-01-26,2026-09-09
000301,ok,5219,2004-01-02,2026-09-09
000333,ok,3092,2013-09-18,2026-09-09
000338,ok,4646,2007-04-30,2026-09-09
000400,ok,5238,2004-01-02,2026-09-09
000401,ok,5261,2004-01-02,2026-09-09
000402,ok,5449,2004-01-02,2026-09-09
000406,ok,534,2004-01-02,2006-04-06
000408,ok,5023,2004-01-02,2026-09-09
000410,ok,5367,2004-01-02,2026-09-09
000413,ok,4701,2004-01-02,2024-08-14
000415,ok,4791,2004-01-02,2026-09-09
000420,ok,5393,2004-01-02,2026-09-09
000422,ok,5382,2004-01-02,2026-09-09
000423,ok,5357,2004-01-02,2026-09-09
000425,ok,5370,2004-01-02,2026-09-09
000429,ok,5246,2004-01-02,2026-09-09
000488,ok,5423,2004-01-02,2026-09-09
000498,ok,4188,2004-01-02,2026-09-09
000503,ok,5209,2004-01-02,2026-09-09
000507,ok,5416,2004-01-02,2026-09-09
000511,ok,2981,2004-01-02,2018-07-17
000518,ok,5324,2004-01-02,2026-09-09
000520,ok,4774,2004-01-02,2026-09-09
000527,ok,2092,2004-01-02,2013-08-14
000528,ok,5436,2004-01-02,2026-09-09
000532,ok,5357,2004-01-02,2026-09-09
000533,ok,5249,2004-01-02,2026-09-09
000536,ok,4782,2004-01-02,2026-09-09
000538,ok,5289,2004-01-02,2026-09-09
000539,ok,5324,2004-01-02,2026-09-09
000540,ok,4169,2004-01-02,2023-05-18
000541,ok,5414,2004-01-02,2026-09-09
000543,ok,5434,2004-01-02,2026-09-09
000550,ok,5455,2004-01-02,2026-09-09
000553,ok,5074,2004-01-02,2026-09-09
000555,ok,5005,2004-01-02,2026-09-09
000559,ok,5445,2004-01-02,2026-09-09
000562,ok,2393,2004-01-02,2014-12-09
000568,ok,5405,2004-01-02,2026-09-09
000571,ok,5108,2004-01-02,2026-09-09
000572,ok,5446,2004-01-02,2026-09-09
000573,ok,5465,2004-01-02,2026-09-09
000581,ok,5460,2004-01-02,2026-09-09
000596,ok,5310,2004-01-02,2026-09-09
000598,ok,5427,2004-01-02,2026-09-09
000599,ok,5429,2004-01-02,2026-09-09
000601,ok,5386,2004-01-02,2026-09-09
000607,ok,5217,2004-01-02,2026-09-09
