Date,CSI300,CSI300_SP_FV_SPMO,CSI300_SP_FV_SPMO_Net,Excess
2005,-0.045530,-0.047583,-0.047583,-0.002053
2006,1.210244,1.130195,1.117384,-0.080050
2007,1.615458,1.684608,1.665275,0.069150
2008,-0.659493,-0.690006,-0.693149,-0.030513
2009,0.967124,0.754861,0.743420,-0.212263
2010,-0.125129,0.008201,0.002575,0.133330
2011,-0.250145,-0.341558,-0.345053,-0.091412
2012,0.075545,0.165415,0.158574,0.089869
2013,-0.076466,0.000285,-0.003228,0.076751
2014,0.516594,0.372952,0.366478,-0.143642
2015,0.055831,-0.074770,-0.078872,-0.130601
2016,-0.112817,-0.128836,-0.133356,-0.016019
2017,0.217750,0.444428,0.439835,0.226678
2018,-0.253098,-0.222507,-0.224519,0.030591
2019,0.360696,0.595088,0.588913,0.234391
2020,0.272107,0.601682,0.596833,0.329574
2021,-0.051987,-0.100482,-0.103468,-0.048495
2022,-0.216328,-0.269849,-0.273042,-0.053522
2023,-0.113782,-0.059749,-0.063644,0.054033
2024,0.146833,0.264272,0.261491,0.117439
2025,0.176632,0.181853,0.178359,0.005221
2026,-0.012385,0.065291,0.063118,0.077676
