Date,MA20,MA50,MA100,MA200
2005-09-16,,,,
2005-09-19,,,,
2005-09-20,,,,
2005-09-21,,,,
2005-09-22,,,,
2005-09-23,,,,
2005-09-26,,,,
2005-09-27,,,,
2005-09-28,,,,
2005-09-29,,,,
2005-09-30,,,,
2005-10-10,,,,
2005-10-11,,,,
2005-10-12,,,,
2005-10-13,,,,
2005-10-14,,,,
2005-10-17,,,,
2005-10-18,,,,
2005-10-19,,,,
2005-10-20,951.6636,,,
2005-10-21,948.4031,,,
2005-10-24,945.0703,,,
2005-10-25,941.5742,,,
2005-10-26,938.0295,,,
2005-10-27,935.5788,,,
2005-10-28,933.0765,,,
2005-10-31,930.8951,,,
2005-11-01,929.2755,,,
2005-11-02,928.1778,,,
2005-11-03,926.0382,,,
2005-11-04,924.0212,,,
2005-11-07,922.4687,,,
2005-11-08,920.4946,,,
2005-11-09,918.2083,,,
2005-11-10,915.4419,,,
2005-11-11,913.3726,,,
2005-11-14,911.5395,,,
2005-11-15,909.1762,,,
2005-11-16,907.3354,,,
2005-11-17,905.4098,,,
2005-11-18,904.2641,,,
2005-11-21,903.0868,,,
2005-11-22,901.8129,,,
2005-11-23,901.8341,,,
2005-11-24,902.1256,,,
2005-11-25,902.9721,,,
2005-11-28,903.1731,,,
2005-11-29,903.0925,,,
2005-11-30,902.6455,,,
2005-12-01,902.5674,924.2441,,
2005-12-02,902.1323,922.2274,,
2005-12-05,901.2191,919.9219,,
2005-12-06,900.4212,917.9407,,
2005-12-07,900.1416,916.4819,,
2005-12-08,900.7147,915.4646,,
2005-12-09,901.8811,914.8695,,
2005-12-12,903.2439,914.2499,,
2005-12-13,904.9214,913.9376,,
2005-12-14,906.7318,913.8224,,
2005-12-15,908.4770,913.4183,,
2005-12-16,909.5271,913.1117,,
2005-12-19,910.5111,913.0206,,
2005-12-20,912.4594,912.7642,,
2005-12-21,913.8501,912.3436,,
2005-12-22,915.2589,912.1834,,
2005-12-23,916.9013,912.4120,,
2005-12-26,919.0827,912.9238,,
2005-12-27,921.5659,913.2750,,
2005-12-28,923.9995,913.7335,,
2005-12-29,927.0465,914.3973,,
2005-12-30,929.8119,914.7909,,
2006-01-04,934.0403,915.5099,,
2006-01-05,938.8491,916.8506,,
2006-01-06,943.8202,918.7981,,
2006-01-09,949.0496,920.8529,,
2006-01-10,953.7416,923.1355,,
2006-01-11,958.1323,925.1448,,
2006-01-12,963.0222,927.4363,,
2006-01-13,967.1907,929.4276,,
2006-01-16,970.5504,931.2232,,
2006-01-17,973.7406,932.9995,,
2006-01-18,977.9116,935.1977,,
2006-01-19,982.2475,937.4654,,
2006-01-20,986.9090,939.8239,,
2006-01-23,991.4264,942.5772,,
2006-01-24,995.7261,945.3534,,
2006-01-25,1000.2336,948.4014,,
2006-02-06,1006.1183,952.0519,,
2006-02-07,1011.7525,955.5004,,
2006-02-08,1016.9742,959.0230,,
2006-02-09,1021.9432,961.8625,,
2006-02-10,1026.6413,964.9317,,
2006-02-13,1030.3871,968.2803,,
2006-02-14,1033.9271,971.6353,,
2006-02-15,1037.3592,974.9464,,
2006-02-16,1039.5282,977.7579,,
2006-02-17,1041.9514,980.6561,,
