Date,Open,High,Low,Close
2005-09-16,1002.1912,1002.9664,996.6822,1000.0000
2005-09-19,999.9380,1004.6408,996.6512,1003.7623
2005-09-20,1004.0103,1004.2894,989.2713,994.2326
2005-09-21,993.6641,993.6641,975.5245,976.1344
2005-09-22,974.3979,974.3979,944.9406,954.2842
2005-09-23,952.4651,958.5736,945.5401,946.9251
2005-09-26,946.6047,950.5426,944.2997,949.3437
2005-09-27,949.7364,952.0724,933.7364,934.5840
2005-09-28,933.6744,940.9096,931.6589,934.0775
2005-09-29,934.6563,946.7494,934.6563,946.7494
2005-09-30,947.3798,949.5194,944.1344,948.2067
2005-10-10,948.0207,948.0207,937.3437,937.7984
2005-10-11,937.0853,950.6977,934.4186,950.6150
2005-10-12,951.3695,957.1990,948.1964,954.5116
2005-10-13,954.4496,957.1163,947.0594,947.2868
2005-10-14,947.1214,948.7235,933.1370,935.2248
2005-10-17,933.6124,933.6124,922.3359,927.7726
2005-10-18,927.5142,933.3333,925.7054,932.6822
2005-10-19,932.3411,938.3773,927.1835,928.9302
2005-10-20,929.0853,930.3669,919.4522,930.1499
2005-10-21,929.8708,938.2842,928.1550,934.7907
2005-10-24,935.5349,938.9664,930.4703,937.1059
2005-10-25,936.4031,936.4031,923.6279,924.3101
2005-10-26,922.6047,922.6047,903.2558,905.2403
2005-10-27,902.8114,909.2196,898.9354,905.2713
2005-10-28,905.2817,909.7778,888.5685,896.8786
2005-10-31,895.7313,907.9173,895.2455,905.7158
2005-11-01,905.3850,905.3850,891.6693,902.1912
2005-11-02,902.7287,914.6667,902.7287,912.1240
2005-11-03,911.8243,915.4315,901.4057,903.9587
2005-11-04,902.6873,907.8656,898.8941,907.8656
2005-11-07,907.1008,907.1008,899.3075,906.7494
2005-11-08,905.8708,911.5245,900.2171,911.1318
2005-11-09,911.1214,914.6667,908.1964,908.7855
2005-11-10,908.1447,908.1447,891.0491,891.9587
2005-11-11,890.1499,896.4651,886.6047,893.8398
2005-11-14,893.1059,893.2817,887.1731,891.1111
2005-11-15,891.0284,896.5995,882.5426,885.4160
2005-11-16,884.1860,892.1654,875.9587,892.1137
2005-11-17,892.0724,894.8734,887.8553,891.6382
2005-11-18,891.5556,916.3618,891.3695,911.8760
2005-11-21,912.4444,915.8760,909.8708,913.5607
2005-11-22,913.6227,913.6227,898.7390,898.8320
2005-11-23,897.1680,906.2739,895.2868,905.6641
2005-11-24,905.2506,915.5039,904.2687,911.1008
2005-11-25,910.8527,913.8605,906.7287,913.8088
2005-11-28,912.9096,916.5271,907.1214,909.7364
2005-11-29,908.7855,908.7855,899.8036,900.5788
2005-11-30,899.6899,903.2868,896.1034,903.1835
2005-12-01,902.8114,906.7804,899.9483,902.3979
2005-12-02,902.2532,905.2506,895.4729,899.1628
2005-12-05,898.6357,898.6357,887.7106,888.4858
2005-12-06,886.9354,896.3204,884.4651,895.1731
2005-12-07,894.8010,903.3592,894.0775,903.1938
2005-12-08,903.4935,907.4625,899.3488,903.4212
2005-12-09,903.0388,917.3850,900.5271,917.1680
2005-12-12,916.8579,920.6098,913.9638,918.3669
2005-12-13,917.8295,919.0904,910.3256,918.9664
2005-12-14,918.4496,929.2093,914.0775,928.3204
2005-12-15,928.5581,934.3773,925.2403,926.5426
2005-12-16,925.9225,933.0749,924.1344,932.8786
2005-12-19,932.3514,934.8527,928.9819,933.2403
2005-12-20,933.0749,937.7984,929.8811,937.7984
2005-12-21,937.5194,941.5297,932.4134,933.4780
2005-12-22,932.6822,939.5969,930.9147,939.2765
2005-12-23,939.4935,946.6563,939.0284,946.6563
2005-12-26,947.4625,956.0827,947.1938,953.3643
2005-12-27,953.4264,953.4264,946.7804,950.2429
2005-12-28,949.9225,951.9173,945.8605,951.8553
2005-12-29,952.0827,963.3385,952.0827,963.3385
2005-12-30,964.8062,965.3747,952.7959,954.4703
2006-01-04,957.6848,973.0543,957.5297,973.0543
2006-01-05,975.5556,991.8656,973.9638,991.3488
2006-01-06,994.2326,1008.4031,988.1550,1002.6150
2006-01-09,1003.7106,1009.0646,998.5013,1008.0103
2006-01-10,1008.0413,1011.1421,996.8269,1011.0078
2006-01-11,1010.4806,1016.4238,995.7519,1006.1809
2006-01-12,1005.0543,1017.1370,1001.0749,1016.7649
2006-01-13,1018.1292,1021.3023,1006.3979,1011.6899
2006-01-16,1010.7390,1010.7390,993.1576,993.7364
2006-01-17,991.6279,998.4289,984.2171,996.6822
2006-01-18,996.5478,1017.7468,995.4315,1016.6615
2006-01-19,1018.3256,1025.6021,1011.1421,1024.5168
2006-01-20,1024.8786,1027.9070,1020.2171,1026.7080
2006-01-23,1027.1214,1030.8320,1022.5736,1029.6227
2006-01-24,1031.3075,1039.9483,1026.7597,1032.6512
2006-01-25,1032.3824,1043.5659,1022.7494,1043.5142
2006-02-06,1047.4729,1068.0620,1046.8320,1067.9380
2006-02-07,1069.4367,1073.3850,1054.2016,1064.5375
2006-02-08,1062.9974,1068.1137,1057.3023,1067.7726
2006-02-09,1067.8966,1067.8966,1051.2145,1053.8501
2006-02-10,1053.6641,1067.2868,1052.6925,1067.0181
2006-02-13,1069.1266,1069.3953,1056.1654,1066.2636
2006-02-14,1067.3385,1073.7054,1065.0749,1073.4160
2006-02-15,1075.2765,1083.5556,1073.6331,1076.6512
2006-02-16,1076.6615,1076.6615,1053.4470,1054.3876
2006-02-17,1054.3256,1063.1214,1050.1189,1054.6460
2006-02-20,1055.0284,1064.6512,1054.2842,1055.9587
2006-02-21,1055.2765,1073.8398,1048.7442,1073.7158
2006-02-22,1074.5736,1081.6021,1071.1938,1072.7545
2006-02-23,1073.1266,1076.5788,1063.8243,1076.3514
2006-02-24,1076.9716,1084.9509,1076.9716,1084.6925
2006-02-27,1091.4212,1092.7339,1081.1059,1083.0491
2006-02-28,1081.8708,1089.1163,1068.3824,1088.3824
2006-03-01,1087.0904,1093.2196,1084.8992,1092.1137
2006-03-02,1091.3282,1091.5245,1069.4367,1073.5607
2006-03-03,1072.8579,1078.4703,1064.1447,1076.6718
2006-03-06,1076.6512,1079.5039,1070.9147,1073.7674
2006-03-07,1072.7959,1072.8475,1047.1731,1049.0646
2006-03-08,1046.5943,1049.0646,1033.5194,1043.1731
2006-03-09,1040.7959,1044.8682,1035.8656,1038.0775
2006-03-10,1038.5013,1045.7468,1038.4393,1042.7907
2006-03-13,1042.6873,1055.1731,1042.3876,1054.1189
2006-03-14,1054.7494,1055.9690,1046.1085,1052.4755
2006-03-15,1052.3514,1063.5349,1051.2455,1063.5245
2006-03-16,1063.5245,1064.4031,1059.9690,1062.1395
2006-03-17,1062.1602,1064.1447,1055.3798,1058.4186
