Date,Open,High,Low,Close
2005-09-30,1002.1912,1004.6408,931.6589,948.2067
2005-10-31,948.0207,957.1990,888.5685,905.7158
2005-11-30,905.3850,916.5271,875.9587,903.1835
2005-12-30,902.8114,965.3747,884.4651,954.4703
2006-01-25,957.6848,1043.5659,957.5297,1043.5142
2006-02-28,1047.4729,1092.7339,1046.8320,1088.3824
2006-03-31,1087.0904,1110.1189,1033.5194,1096.7339
2006-04-28,1097.6331,1213.3127,1097.6331,1211.7313
2006-05-31,1219.2041,1434.1809,1219.2041,1411.3178
2006-06-30,1410.0052,1460.5788,1312.1654,1440.7855
2006-07-31,1445.7261,1479.0078,1336.9819,1337.8088
2006-08-31,1336.1344,1394.5220,1263.0388,1383.6589
2006-09-29,1384.2997,1452.7752,1358.7287,1450.4083
2006-10-31,1468.0724,1513.6744,1450.1395,1513.6641
2006-11-30,1514.9044,1772.0827,1502.0775,1771.9483
2006-12-29,1777.0336,2121.8191,1763.2145,2109.6124
2007-01-31,2142.8941,2686.7700,2098.9767,2465.4677
2007-02-28,2429.5607,2810.8734,2272.7649,2630.0465
2007-03-30,2635.9276,2925.1473,2490.6667,2875.2248
2007-04-30,2887.8140,3688.5581,2887.8140,3678.2532
2007-05-31,3766.2119,4308.5581,3676.0930,4059.8966
2007-06-29,4085.8915,4436.3824,3355.7933,3890.5220
2007-07-31,3872.0207,4617.7261,3592.0103,4610.3979
2007-08-31,4629.7674,5485.7054,4414.5323,5474.7390
2007-09-28,5514.2636,5778.6563,5229.4160,5768.2791
2007-10-31,5894.8630,6089.6331,5443.2765,5879.6279
2007-11-30,5893.0129,5893.7571,4774.6873,4896.5478
2007-12-28,4873.3023,5572.7855,4847.0491,5517.6021
2008-01-31,5529.4677,5950.3049,4760.8682,4775.6072
2008-02-29,4778.9354,5232.3101,4542.2119,4831.5762
2008-03-31,4804.8992,4999.1318,3780.9199,3917.8605
2008-04-30,3903.1214,4103.9587,3227.2765,4092.1137
2008-05-30,4150.0879,4212.4858,3652.1654,3732.6408
2008-06-30,3721.1680,3773.1059,2782.2946,2885.6021
2008-07-31,2893.2300,3159.5969,2705.1783,2899.4419
2008-08-29,2879.7106,2965.0439,2350.2739,2471.9793
2008-09-26,2452.3411,2452.3411,1865.3953,2319.0284
2008-10-31,2280.6822,2280.6822,1661.6744,1719.5452
2008-11-28,1703.9380,2061.8295,1660.7028,1891.3902
2008-12-31,1885.0336,2178.3979,1860.2997,1878.7804
2009-01-23,1910.4186,2123.3385,1899.5762,2100.9612
2009-02-27,2121.3850,2553.6124,2097.9018,2212.3928
2009-03-31,2194.6977,2600.9096,2171.2041,2592.0310
2009-04-30,2604.5375,2804.4548,2539.9690,2711.0388
2009-05-27,2723.6486,2945.3643,2720.7235,2852.4134
2009-06-30,2892.9509,3303.0698,2892.9509,3272.8372
2009-07-31,3259.4729,3892.0827,3256.4858,3860.0724
