Date,Open,High,Low,Close
2005-09-16,1002.1912,1002.9664,996.6822,1000.0000
2005-09-23,999.9380,1004.6408,944.9406,946.9251
2005-09-30,946.6047,952.0724,931.6589,948.2067
2005-10-14,948.0207,957.1990,933.1370,935.2248
2005-10-21,933.6124,938.3773,919.4522,934.7907
2005-10-28,935.5349,938.9664,888.5685,896.8786
2005-11-04,895.7313,915.4315,891.6693,907.8656
2005-11-11,907.1008,914.6667,886.6047,893.8398
2005-11-18,893.1059,916.3618,875.9587,911.8760
2005-11-25,912.4444,915.8760,895.2868,913.8088
2005-12-02,912.9096,916.5271,895.4729,899.1628
2005-12-09,898.6357,917.3850,884.4651,917.1680
2005-12-16,916.8579,934.3773,910.3256,932.8786
2005-12-23,932.3514,946.6563,928.9819,946.6563
2005-12-30,947.4625,965.3747,945.8605,954.4703
2006-01-06,957.6848,1008.4031,957.5297,1002.6150
2006-01-13,1003.7106,1021.3023,995.7519,1011.6899
2006-01-20,1010.7390,1027.9070,984.2171,1026.7080
2006-01-25,1027.1214,1043.5659,1022.5736,1043.5142
2006-02-10,1047.4729,1073.3850,1046.8320,1067.0181
2006-02-17,1069.1266,1083.5556,1050.1189,1054.6460
2006-02-24,1055.0284,1084.9509,1048.7442,1084.6925
2006-03-03,1091.4212,1093.2196,1064.1447,1076.6718
2006-03-10,1076.6512,1079.5039,1033.5194,1042.7907
2006-03-17,1042.6873,1064.4031,1042.3876,1058.4186
2006-03-24,1058.9147,1087.0904,1053.9018,1077.6227
2006-03-31,1077.6537,1110.1189,1071.9173,1096.7339
2006-04-07,1097.6331,1146.9561,1097.6331,1140.2067
2006-04-14,1141.4160,1163.9173,1128.3411,1156.1860
2006-04-21,1157.8191,1191.6176,1151.9690,1187.7623
2006-04-28,1195.7726,1213.3127,1160.8269,1211.7313
2006-05-12,1219.2041,1339.9276,1219.2041,1339.8036
2006-05-19,1356.2171,1434.0052,1344.8165,1411.9897
2006-05-26,1412.2171,1434.1809,1320.2377,1375.7313
2006-06-02,1384.9096,1459.2041,1375.3282,1436.8165
2006-06-09,1438.2016,1460.5788,1330.1292,1337.6641
2006-06-16,1326.9561,1362.2946,1312.1654,1362.2842
2006-06-23,1350.1395,1392.2481,1338.3979,1384.4444
2006-06-30,1386.6770,1456.1137,1386.6770,1440.7855
2006-07-07,1445.7261,1474.3152,1423.4832,1457.8088
2006-07-14,1457.8811,1479.0078,1372.1860,1402.7183
2006-07-21,1399.6279,1419.7313,1373.8295,1401.5814
2006-07-28,1385.3023,1427.1835,1372.2584,1386.4496
2006-08-04,1382.9871,1382.9871,1281.0129,1283.6279
2006-08-11,1274.9251,1320.8992,1263.0388,1318.5013
2006-08-18,1317.9742,1326.6873,1281.5607,1310.4599
2006-08-25,1276.9302,1345.4780,1270.4599,1338.9561
2006-09-01,1342.0775,1394.5220,1341.9742,1362.3773
2006-09-08,1359.9070,1393.5711,1359.8036,1376.8992
2006-09-15,1376.6305,1408.1654,1363.5245,1408.0827
2006-09-22,1413.5917,1440.3411,1407.8966,1421.0336
2006-09-29,1418.9251,1452.7752,1396.5685,1450.4083
2006-10-13,1468.0724,1491.9897,1465.8501,1478.9457
2006-10-20,1480.4238,1496.5891,1458.0568,1488.5581
2006-10-27,1487.8966,1509.5194,1450.1395,1487.3902
2006-11-03,1484.9199,1547.7726,1476.3101,1538.2842
2006-11-10,1527.0698,1586.7700,1521.4470,1554.5840
2006-11-17,1548.3824,1614.7183,1502.0775,1614.5530
2006-11-24,1619.9897,1697.9948,1619.9897,1691.5556
2006-12-01,1687.5039,1800.3101,1658.7287,1787.3075
2006-12-08,1790.0775,1881.8811,1767.4419,1769.0749
2006-12-15,1763.2145,1930.5220,1763.2145,1930.3773
2006-12-22,1937.9948,2010.8217,1937.9948,1959.3178
2006-12-29,1962.6047,2121.8191,1962.6047,2109.6124
2007-01-05,2142.8941,2211.3592,2098.9767,2142.5116
2007-01-12,2141.6124,2366.8734,2141.3127,2246.7700
2007-01-19,2243.8656,2476.5788,2243.8656,2476.5788
2007-01-26,2506.2739,2641.9638,2436.1550,2597.3333
2007-02-02,2614.9251,2686.7700,2370.3152,2375.1938
2007-02-09,2359.4522,2498.8527,2272.7649,2477.7778
2007-02-16,2478.3979,2808.8579,2477.3023,2766.6563
2007-03-02,2769.2713,2810.8734,2494.3979,2593.0026
2007-03-09,2587.9276,2732.6202,2490.6667,2699.1111
2007-03-16,2700.7339,2754.9251,2632.1964,2691.7106
2007-03-23,2618.8217,2832.3307,2608.0620,2807.5142
2007-03-30,2816.9509,2925.1473,2779.4419,2875.2248
2007-04-06,2887.8140,3077.4780,2887.8140,3071.8450
2007-04-13,3088.7649,3319.4935,3088.7649,3275.6899
2007-04-20,3284.0310,3423.2351,3168.2481,3399.7726
2007-04-27,3442.6873,3621.5917,3442.6873,3587.1008
2007-04-30,3604.5065,3688.5581,3595.7933,3678.2532
2007-05-11,3766.2119,3867.9380,3676.0930,3826.9871
2007-05-18,3770.8217,3933.0336,3676.6925,3903.4935
2007-05-25,3773.4367,4131.1111,3765.4574,4119.1214
2007-06-01,4169.4264,4308.5581,3807.2972,3931.7313
2007-06-08,3932.7752,3990.9147,3355.7933,3966.7907
