reference_date,implementation_date,n_selected,non_members_on_ref_date,non_members_on_impl_date,positive_weight_non_members,financial_failures,reports_after_ref_date,insufficient_momentum_history,momentum_data_after_ref_date,weight_sum
2005-08-31,2005-09-16,46,0,0,0,0,0,0,0,1.0
2006-02-28,2006-03-17,45,0,0,0,0,0,0,0,1.0
2006-08-31,2006-09-15,48,0,0,0,0,0,0,0,1.0
2007-02-28,2007-03-16,49,0,0,0,0,0,0,0,1.0
2007-08-31,2007-09-21,49,0,0,0,0,0,0,0,1.0
2008-02-29,2008-03-21,48,0,0,0,0,0,0,0,1.0
2008-08-29,2008-09-19,49,0,0,0,0,0,0,0,1.0
2009-02-27,2009-03-20,48,0,0,0,0,0,0,0,1.0
2009-08-31,2009-09-18,46,0,0,0,0,0,0,0,1.0
2010-02-26,2010-03-19,48,0,0,0,0,0,0,0,1.0
2010-08-31,2010-09-17,50,0,0,0,0,0,0,0,1.0
2011-02-28,2011-03-18,50,0,0,0,0,0,0,0,1.0
2011-08-31,2011-09-16,51,0,0,0,0,0,0,0,1.0
2012-02-29,2012-03-16,52,0,0,0,0,0,0,0,1.0
2012-08-31,2012-09-21,51,0,0,0,0,0,0,0,1.0
2013-02-28,2013-03-15,51,0,0,0,0,0,0,0,1.0
2013-08-30,2013-09-18,51,0,0,0,0,0,0,0,1.0
2014-02-28,2014-03-21,51,0,0,0,0,0,0,0,1.0
2014-08-29,2014-09-19,52,0,0,0,0,0,0,0,1.0
2015-02-27,2015-03-20,53,0,0,0,0,0,0,0,1.0
2015-08-31,2015-09-18,51,0,0,0,0,0,0,0,1.0
2016-02-29,2016-03-18,47,0,0,0,0,0,0,0,1.0
2016-08-31,2016-09-14,49,0,0,0,0,0,0,0,1.0
2017-02-28,2017-03-17,50,0,0,0,0,0,0,0,1.0
2017-08-31,2017-09-15,50,0,0,0,0,0,0,0,1.0
2018-02-28,2018-03-16,53,0,0,0,0,0,0,0,1.0
2018-08-31,2018-09-21,52,0,0,0,0,0,0,0,1.0
2019-02-28,2019-03-15,53,0,0,0,0,0,0,0,1.0
2019-08-30,2019-09-20,53,0,0,0,0,0,0,0,1.0
2020-02-28,2020-03-20,55,0,0,0,0,0,0,0,1.0
2020-08-31,2020-09-18,54,0,0,0,0,0,0,0,1.0
2021-02-26,2021-03-19,55,0,0,0,0,0,0,0,1.0
2021-08-31,2021-09-17,55,0,0,0,0,0,0,0,1.0
2022-02-28,2022-03-18,55,0,0,0,0,0,0,0,1.0
2022-08-31,2022-09-16,54,0,0,0,0,0,0,0,1.0
2023-02-28,2023-03-17,55,0,0,0,0,0,0,0,1.0
2023-08-31,2023-09-15,55,0,0,0,0,0,0,0,1.0
2024-02-29,2024-03-15,55,0,0,0,0,0,0,0,1.0
2024-08-30,2024-09-20,54,0,0,0,0,0,0,0,1.0
2025-02-28,2025-03-21,54,0,0,0,0,0,0,0,1.0
2025-08-29,2025-09-19,54,0,0,0,0,0,0,0,1.0
2026-02-27,2026-03-20,55,0,0,0,0,0,0,0,1.0
2026-08-31,2026-09-18,54,0,0,0,0,0,0,0,1.0
