Date,CSI300,CSI300_SP_FV_SPMO,CSI300_SP_FV_SPMO_Net,CSI300_TR,CSI300_SP_FV_SPMO_TR,CSI300_SP_FV_SPMO_TR_Net
2005-09-16,100.000000,100.000000,99.719000,100.000000,100.000000,99.719000
2005-09-19,100.376227,99.640675,99.360685,100.376719,99.640675,99.360685
2005-09-20,99.423256,98.818202,98.540523,99.424202,98.818202,98.540523
2005-09-21,97.613437,97.004398,96.731815,97.614113,97.004398,96.731815
2005-09-22,95.428424,95.791371,95.522198,95.429347,95.791371,95.522198
2005-09-23,94.692506,95.469127,95.200859,94.693265,95.469127,95.200859
2005-09-26,94.934367,95.864881,95.595501,94.934202,95.864881,95.595501
2005-09-27,93.458398,95.174836,94.907394,93.458974,95.174836,94.907394
2005-09-28,93.407752,95.397450,95.129384,93.407928,95.397450,95.129384
2005-09-29,94.674935,96.638262,96.366708,94.674888,96.638262,96.366708
2005-09-30,94.820672,97.005534,96.732949,94.820880,97.005534,96.732949
2005-10-10,93.779845,96.340693,96.069975,93.780564,96.372475,96.101668
2005-10-11,95.061499,97.228020,96.954809,95.061817,97.260170,96.986869
2005-10-12,95.451163,97.552719,97.278596,95.450787,97.584796,97.310582
2005-10-13,94.728682,96.399569,96.128686,94.728997,96.431130,96.160158
2005-10-14,93.522481,94.876240,94.609638,93.522271,94.907396,94.640706
2005-10-17,92.777261,94.268914,94.004018,92.778022,94.298891,94.033911
2005-10-18,93.268217,94.680607,94.414554,93.268063,94.710952,94.444815
2005-10-19,92.893023,94.659902,94.393907,92.893385,94.689585,94.423507
2005-10-20,93.014987,95.084523,94.817336,93.014875,95.114722,94.847449
2005-10-21,93.479070,95.318570,95.050725,93.472246,95.349394,95.081463
2005-10-24,93.710594,95.484320,95.216009,93.573317,95.515145,95.246747
2005-10-25,92.431008,94.249151,93.984311,92.298190,94.279975,94.015049
2005-10-26,90.524031,92.776348,92.515646,90.324754,92.807172,92.546384
2005-10-27,90.527132,93.039613,92.778171,90.283917,93.070437,92.808909
2005-10-28,89.687855,92.410890,92.151216,89.402865,92.441715,92.181954
2005-10-31,90.571576,93.673869,93.410646,90.261457,93.704694,93.441383
2005-11-01,90.219121,93.404961,93.142493,89.892906,93.435785,93.173231
2005-11-02,91.212403,93.669942,93.406729,90.875029,93.700766,93.437467
2005-11-03,90.395866,92.440775,92.181016,90.053190,92.469868,92.210028
2005-11-04,90.786563,92.806858,92.546071,90.442160,92.835878,92.575010
2005-11-07,90.674935,92.063831,91.805132,90.282897,92.092446,91.833666
2005-11-08,91.113178,92.213848,91.954727,90.703515,92.241836,91.982637
2005-11-09,90.878553,92.520092,92.260110,90.470746,92.548117,92.288057
2005-11-10,89.195866,91.349731,91.093038,88.783167,91.377535,91.120764
2005-11-11,89.383979,91.653423,91.395877,88.969995,91.681338,91.423713
2005-11-14,89.111111,90.556237,90.301774,88.664741,90.626614,90.371953
2005-11-15,88.541602,89.777702,89.525426,88.098131,89.846144,89.593676
2005-11-16,89.211370,89.737730,89.485567,88.764791,89.807458,89.555099
2005-11-17,89.163824,89.645031,89.393129,88.712724,89.713688,89.461593
2005-11-18,91.187597,91.381728,91.124945,90.731080,91.451027,91.194050
2005-11-21,91.356072,91.855029,91.596916,90.784168,91.924328,91.666021
2005-11-22,89.883204,91.195948,90.939687,89.320170,91.264818,91.008364
2005-11-23,90.566408,91.839297,91.581228,89.999081,91.908382,91.650119
2005-11-24,91.110078,91.947245,91.688873,90.540168,92.016973,91.758405
2005-11-25,91.380879,92.067457,91.808748,90.813774,92.137399,91.878493
2005-11-28,90.973643,91.823881,91.565856,90.415616,91.893394,91.635174
2005-11-29,90.057881,90.834416,90.579172,89.505977,90.903716,90.648276
2005-11-30,90.318346,90.178939,89.925536,89.750998,90.248238,89.994641
2005-12-01,90.239793,89.812389,89.560017,89.681575,89.881260,89.628694
2005-12-02,89.916279,89.285823,89.034929,89.373258,89.354693,89.103607
2005-12-05,88.848579,88.636290,88.387222,88.310482,88.704947,88.455686
2005-12-06,89.517313,89.114181,88.863770,88.976121,89.183052,88.932447
2005-12-07,90.319380,90.068357,89.815265,89.773458,90.137228,89.883942
2005-12-08,90.342119,90.260411,90.006779,89.795918,90.329496,90.075670
2005-12-09,91.716796,91.324432,91.067810,91.178242,91.389091,91.132287
2005-12-12,91.836693,91.034677,90.778869,91.311983,91.099600,90.843610
2005-12-13,91.896641,90.822004,90.566794,91.381405,90.886965,90.631572
2005-12-14,92.832041,92.111560,91.852726,92.312483,92.176949,91.917932
2005-12-15,92.654264,92.153417,91.894466,92.141989,92.219944,91.960805
2005-12-16,93.287855,92.979028,92.717757,92.786189,93.046235,92.784775
2005-12-19,93.324031,92.806097,92.545312,92.860716,92.874937,92.613958
2005-12-20,93.779845,93.167950,92.906148,93.309920,93.236472,92.974477
2005-12-21,93.347804,93.161413,92.899630,92.905636,93.230377,92.968400
2005-12-22,93.927649,94.024731,93.760522,93.488581,94.093451,93.829048
2005-12-23,94.665633,95.029221,94.762189,94.222622,95.099143,94.831914
2005-12-26,95.336434,95.105099,94.837853,94.890302,95.175425,94.907982
2005-12-27,95.024289,94.459456,94.194025,94.600361,94.529746,94.264117
2005-12-28,95.185530,94.965519,94.698666,94.760646,95.037596,94.770540
2005-12-29,96.333850,96.343069,96.072345,96.294065,96.415729,96.144801
2005-12-30,95.447028,95.241692,94.974063,94.276730,95.313156,95.045326
2006-01-04,97.305426,97.362074,97.088486,96.112342,97.434371,97.160581
2006-01-05,99.134884,100.216563,99.934955,97.919368,100.289467,100.007653
2006-01-06,100.261499,100.631480,100.348706,99.032169,100.705572,100.422590
2006-01-09,100.801034,100.848470,100.565086,99.565089,100.923395,100.639801
2006-01-10,101.100775,101.009584,100.725747,99.861155,101.086304,100.802251
2006-01-11,100.618088,100.743695,100.460605,99.384386,100.821783,100.538474
2006-01-12,101.676486,101.072113,100.788100,100.429807,101.150563,100.866330
2006-01-13,101.168992,100.418732,100.136555,99.928536,100.495528,100.213136
2006-01-16,99.373643,98.920504,98.642537,98.155200,98.996607,98.718427
2006-01-17,99.668217,99.295088,99.016069,98.446162,99.373230,99.093991
2006-01-18,101.666150,100.837280,100.553928,100.419598,100.918552,100.634971
2006-01-19,102.451680,101.110260,100.826140,101.195496,101.193637,100.909283
2006-01-20,102.670801,100.927549,100.643943,101.411930,101.011642,100.727800
2006-01-23,102.962274,100.600605,100.317917,101.699830,100.684698,100.401774
2006-01-24,103.265116,101.335977,101.051223,101.998959,101.420659,101.135667
2006-01-25,104.351421,103.324419,103.034077,103.071944,103.409138,103.118558
2006-02-06,106.793798,105.520549,105.224037,105.484375,105.605637,105.308885
2006-02-07,106.453747,105.168045,104.872522,105.148493,105.253132,104.957371
2006-02-08,106.777261,104.817984,104.523446,105.468040,104.903624,104.608845
2006-02-09,105.385013,103.639894,103.348666,104.092863,103.724835,103.433368
2006-02-10,106.701809,105.224890,104.929208,105.393513,105.310236,105.014314
2006-02-13,106.626357,106.090341,105.792227,105.318986,106.179104,105.880741
2006-02-14,107.341602,106.954547,106.654004,106.025462,107.042881,106.742091
2006-02-15,107.665116,106.841465,106.541241,106.345009,106.928936,106.628466
2006-02-16,105.438760,105.104632,104.809288,104.145951,105.188574,104.892995
2006-02-17,105.464599,105.040697,104.745533,104.171473,105.122853,104.827458
2006-02-20,105.595866,104.716656,104.422403,104.301130,104.801346,104.506854
2006-02-21,107.371576,105.789749,105.492480,106.055068,105.876624,105.579111
2006-02-22,107.275452,105.478533,105.182138,105.960123,105.565555,105.268916
2006-02-23,107.635142,105.609463,105.312701,106.315403,105.697697,105.400687
2006-02-24,108.469251,106.704302,106.404463,107.139284,106.793540,106.493450
2006-02-27,108.304910,104.981848,104.686849,106.976958,105.069469,104.774224
2006-02-28,108.838243,105.676577,105.379626,107.503752,105.765367,105.468166
2006-03-01,109.211370,106.503172,106.203898,107.872303,106.592048,106.292525
2006-03-02,107.356072,103.388455,103.097934,106.039755,103.474527,103.183764
2006-03-03,107.667183,103.619078,103.327908,106.347051,103.706317,103.414903
2006-03-06,107.376744,103.312327,103.022019,106.060173,103.399071,103.108519
2006-03-07,104.906460,101.415035,101.130059,103.620177,101.500113,101.214897
2006-03-08,104.317313,100.741475,100.458392,103.038254,100.824661,100.541344
2006-03-09,103.807752,100.742857,100.459769,102.534941,100.828081,100.544754
2006-03-10,104.279070,101.328563,101.043829,103.000480,101.414524,101.129549
2006-03-13,105.411886,102.646316,102.357880,104.119407,102.732793,102.444114
2006-03-14,105.247545,102.490473,102.202475,103.957081,102.576729,102.288488
2006-03-15,106.352455,103.338187,103.047807,105.048443,103.424590,103.133967
2006-03-16,106.213953,103.524345,103.233441,104.911639,103.610969,103.319822
2006-03-17,105.841860,102.501239,101.966528,104.544109,102.587642,102.052725
2006-03-20,107.251680,103.960180,103.417859,105.936642,104.047813,103.505283
2006-03-21,107.572093,104.593656,104.048030,106.253127,104.681823,104.135987
2006-03-22,108.286305,105.526564,104.976071,106.958581,105.615517,105.064813
2006-03-23,108.376227,105.940962,105.388308,107.047401,106.030265,105.477398
2006-03-24,107.762274,105.738461,105.186863,106.440976,105.827593,105.275782
2006-03-27,108.600517,106.617672,106.061487,107.268941,106.707544,106.151146
2006-03-28,109.145220,107.142058,106.583138,107.806965,107.232373,106.673238
2006-03-29,110.107494,107.943201,107.380102,108.757440,108.034191,107.470875
2006-03-30,109.109044,107.179088,106.619975,107.771233,107.269434,106.710106
2006-03-31,109.673385,107.689414,107.127638,108.328654,107.780190,107.218198
2006-04-03,111.557623,110.143386,109.568810,110.189789,110.236231,109.661434
2006-04-04,112.596382,110.557305,109.980569,111.244398,110.650499,110.073541
2006-04-05,113.691990,112.053637,111.469095,112.345969,112.148092,111.563325
2006-04-06,114.029974,112.948351,112.359142,112.679809,113.114132,112.524328
2006-04-07,114.020672,112.516770,111.929813,112.671642,112.680709,112.093165
2006-04-10,115.546253,112.769157,112.180882,114.178518,112.934293,112.345427
2006-04-11,116.104393,112.947921,112.358714,114.729814,113.113331,112.523531
2006-04-12,115.459432,111.949895,111.365895,114.092761,112.112617,111.528035
2006-04-13,113.067700,109.595562,109.023843,111.728313,109.754821,109.182534
2006-04-14,115.618605,111.680675,111.098079,114.274484,111.844524,111.261340
2006-04-17,116.218088,112.093869,111.509117,114.867638,112.258313,111.672972
2006-04-18,116.928165,113.460215,112.868335,115.577176,113.625811,113.033339
2006-04-19,117.647545,115.412946,114.810880,116.287736,115.580188,114.977525
2006-04-20,117.248579,115.599651,114.996611,115.897745,115.781844,115.178130
2006-04-21,118.776227,118.395672,117.778047,117.426060,118.580443,117.962136
2006-04-24,118.108527,120.353658,119.725819,116.766547,120.541576,119.913044
2006-04-25,118.028941,121.403526,120.770210,116.707333,121.593144,120.959128
2006-04-26,119.455297,121.694844,121.060008,118.117222,121.882979,121.247452
2006-04-27,119.407752,121.810700,121.175259,118.080469,121.998834,121.362703
2006-04-28,121.173127,124.454112,123.804881,119.822156,124.697536,124.047334
2006-05-08,125.937984,129.672883,128.996429,124.533695,129.923277,129.245826
2006-05-09,129.365375,132.220225,131.530482,127.924166,132.473883,131.783133
2006-05-10,130.845478,133.301488,132.606105,129.404498,133.557345,132.860946
2006-05-11,129.719897,132.203967,131.514309,128.290676,132.458803,131.768131
2006-05-12,133.980362,135.941812,135.232655,132.504007,136.202188,135.491998
2006-05-15,139.758140,141.773432,141.033853,138.281386,142.109308,141.368316
2006-05-16,137.584496,138.367937,137.646124,136.132352,138.695001,137.971812
2006-05-17,138.038243,137.228509,136.512640,136.666292,137.566960,136.849653
2006-05-18,137.591731,136.686116,135.973076,136.247716,137.028684,136.314183
2006-05-19,141.198966,139.507774,138.780014,139.846454,139.918909,139.189339
2006-05-22,141.981395,137.194814,136.479121,140.638687,137.602023,136.884533
2006-05-23,136.191214,132.188226,131.498650,134.903166,132.577224,131.885935
2006-05-24,135.218605,133.564558,132.867802,133.964942,133.955482,133.257006
2006-05-25,135.162791,132.050820,131.361960,134.174230,132.533966,131.842902
2006-05-26,137.573127,134.069411,133.370021,136.567263,134.560480,133.858849
2006-05-29,141.218605,137.277421,136.561296,140.220110,137.779688,137.061272
2006-05-30,142.507494,139.335323,138.608463,141.499321,139.846654,139.117460
2006-05-31,141.131783,137.530985,136.813538,140.191524,138.034872,137.315126
2006-06-01,145.000517,140.607845,139.874346,144.079182,141.120136,140.384302
2006-06-02,143.681654,137.200691,136.484967,142.826515,137.775178,137.056785
2006-06-05,145.029457,137.315915,136.599590,144.177191,137.916209,137.197081
2006-06-06,144.613953,133.852380,133.154122,143.791283,134.432640,133.731677
2006-06-07,136.457881,127.335752,126.671489,135.762779,127.862619,127.195913
2006-06-08,137.052196,127.718774,127.052513,136.353891,128.245804,127.577100
2006-06-09,133.766408,125.189331,124.536266,133.236006,125.700989,125.045555
2006-06-12,134.126098,126.713907,126.052888,133.650499,127.261021,126.597452
2006-06-13,134.189147,127.050580,126.387805,133.715838,127.608298,126.942918
2006-06-14,132.700775,125.422726,124.768442,132.251840,125.967964,125.311137
2006-06-15,132.856848,125.933564,125.276616,132.420292,126.481850,125.822344
2006-06-16,136.228424,130.295671,129.615967,135.869976,130.998021,130.314966
2006-06-19,137.973127,131.990504,131.301959,137.672918,132.816931,132.124392
