Date,CSI300,CSI300_SP_FV_SPMO,Excess
2005-09,-0.051793,-0.029945,0.021849
2005-10,-0.044812,-0.034345,0.010467
2005-11,-0.002796,-0.037310,-0.034514
2005-12,0.056785,0.056141,-0.000643
2006-01,0.093291,0.084865,-0.008426
2006-02,0.042997,0.022765,-0.020232
2006-03,0.007673,0.019047,0.011374
2006-04,0.104854,0.155676,0.050822
2006-05,0.164712,0.105074,-0.059638
2006-06,0.020880,-0.011658,-0.032537
2006-07,-0.071473,-0.075247,-0.003774
2006-08,0.034273,0.059471,0.025199
2006-09,0.048241,0.071691,0.023449
2006-10,0.043612,-0.000284,-0.043897
2006-11,0.170635,0.182965,0.012330
2006-12,0.190561,0.202003,0.011442
2007-01,0.168683,0.193304,0.024621
2007-02,0.066754,0.037730,-0.029024
2007-03,0.093222,0.104789,0.011567
2007-04,0.279292,0.246691,-0.032601
2007-05,0.103757,0.127345,0.023588
2007-06,-0.041719,-0.003161,0.038558
2007-07,0.185033,0.212588,0.027555
2007-08,0.187476,0.200504,0.013028
2007-09,0.053617,0.015405,-0.038212
2007-10,0.019304,0.084619,0.065316
2007-11,-0.167201,-0.194872,-0.027671
2007-12,0.126835,0.085094,-0.041742
2008-01,-0.134478,-0.131639,0.002839
2008-02,0.011720,-0.003385,-0.015105
2008-03,-0.189113,-0.182361,0.006752
2008-04,0.044477,0.019462,-0.025014
2008-05,-0.087845,-0.061841,0.026004
2008-06,-0.226927,-0.200806,0.026122
2008-07,0.004796,-0.027046,-0.031842
2008-08,-0.147429,-0.264009,-0.116580
2008-09,-0.061874,-0.075031,-0.013157
2008-10,-0.258506,-0.252550,0.005956
2008-11,0.099936,0.119395,0.019458
2008-12,-0.006667,0.034203,0.040870
2009-01,0.118258,0.089512,-0.028746
2009-02,0.053038,0.036265,-0.016773
2009-03,0.171596,0.237975,0.066378
2009-04,0.045913,0.026414,-0.019499
2009-05,0.052148,0.016736,-0.035412
2009-06,0.147392,0.060367,-0.087025
2009-07,0.179427,0.129491,-0.049936
2009-08,-0.242153,-0.192561,0.049592
2009-09,0.061669,0.057949,-0.003720
2009-10,0.091706,0.121753,0.030046
2009-11,0.070510,0.066708,-0.003802
2009-12,0.018228,-0.017255,-0.035482
2010-01,-0.103902,-0.141364,-0.037462
2010-02,0.024190,0.035268,0.011077
2010-03,0.019484,0.029852,0.010368
2010-04,-0.083166,-0.043629,0.039536
2010-05,-0.095883,-0.067260,0.028623
2010-06,-0.075792,-0.093654,-0.017863
2010-07,0.119302,0.151739,0.032437
2010-08,0.011970,0.076124,0.064154
2010-09,0.011153,0.059742,0.048589
2010-10,0.151388,0.094016,-0.057372
2010-11,-0.071891,-0.000819,0.071072
2010-12,-0.002783,-0.051264,-0.048481
2011-01,-0.016543,-0.063831,-0.047288
2011-02,0.052998,0.075589,0.022591
2011-03,-0.005022,-0.029344,-0.024322
2011-04,-0.009484,-0.037295,-0.027811
2011-05,-0.059874,-0.061840,-0.001967
2011-06,0.014169,0.047018,0.032849
2011-07,-0.023656,0.003879,0.027534
2011-08,-0.042159,-0.037606,0.004553
2011-09,-0.093239,-0.121855,-0.028617
2011-10,0.044147,0.009101,-0.035047
2011-11,-0.064479,-0.060095,0.004383
2011-12,-0.069712,-0.114662,-0.044950
2012-01,0.050526,0.064069,0.013543
2012-02,0.068938,0.092428,0.023491
2012-03,-0.068045,-0.028594,0.039451
2012-04,0.069763,0.064381,-0.005381
2012-05,0.002239,-0.011002,-0.013241
2012-06,-0.064752,-0.057216,0.007536
2012-07,-0.052279,-0.030005,0.022274
2012-08,-0.054888,-0.048064,0.006825
2012-09,0.040021,0.038575,-0.001445
2012-10,-0.016698,-0.022332,-0.005634
2012-11,-0.051073,-0.049904,0.001169
2012-12,0.179136,0.167449,-0.011687
2013-01,0.064976,0.044627,-0.020349
2013-02,-0.005043,-0.009066,-0.004023
2013-03,-0.066677,-0.051468,0.015209
2013-04,-0.019146,0.008356,0.027502
2013-05,0.065018,0.071541,0.006522
2013-06,-0.155688,-0.130153,0.025535
2013-07,-0.003463,0.019862,0.023325
2013-08,0.055125,0.047810,-0.007315
2013-09,0.041112,0.083117,0.042005
2013-10,-0.014661,-0.064577,-0.049915
2013-11,0.027476,0.029319,0.001843
2013-12,-0.044655,-0.027380,0.017274
2014-01,-0.054755,-0.063861,-0.009106
2014-02,-0.010661,-0.028552,-0.017891
2014-03,-0.014989,-0.035330,-0.020341
2014-04,0.005754,0.009135,0.003381
2014-05,-0.001019,-0.017077,-0.016058
2014-06,0.004016,0.004684,0.000668
2014-07,0.085506,0.027204,-0.058302
2014-08,-0.005089,0.020237,0.025326
2014-09,0.048198,0.059996,0.011798
2014-10,0.023395,0.031949,0.008555
2014-11,0.119797,0.115410,-0.004387
2014-12,0.258076,0.228183,-0.029893
2015-01,-0.028106,-0.008312,0.019794
2015-02,0.040313,0.037816,-0.002497
2015-03,0.133888,0.124810,-0.009078
2015-04,0.172465,0.235291,0.062826
2015-05,0.019146,-0.054758,-0.073904
2015-06,-0.075985,-0.090664,-0.014679
2015-07,-0.146725,-0.144050,0.002675
2015-08,-0.117945,-0.130924,-0.012979
2015-09,-0.048593,-0.045639,0.002954
2015-10,0.103383,0.117146,0.013763
2015-11,0.009148,-0.032050,-0.041198
2015-12,0.046150,-0.019480,-0.065630
2016-01,-0.210375,-0.233517,-0.023142
2016-02,-0.023292,-0.048009,-0.024718
2016-03,0.118375,0.130819,0.012444
2016-04,-0.019061,-0.006720,0.012341
2016-05,0.004058,0.008477,0.004419
2016-06,-0.004934,0.008241,0.013176
2016-07,0.015856,-0.002986,-0.018842
2016-08,0.038659,0.054112,0.015454
2016-09,-0.022390,-0.016797,0.005593
2016-10,0.025513,0.030715,0.005203
2016-11,0.060463,0.029649,-0.030814
2016-12,-0.064421,-0.046741,0.017679
2017-01,0.023528,0.037443,0.013915
2017-02,0.019141,0.022971,0.003830
2017-03,0.000938,0.024678,0.023739
2017-04,-0.004716,0.007723,0.012439
2017-05,0.015446,0.056347,0.040901
2017-06,0.049793,0.057377,0.007584
2017-07,0.019382,0.023076,0.003694
2017-08,0.022532,0.018971,-0.003560
2017-09,0.003770,0.004514,0.000744
2017-10,0.044369,0.084089,0.039720
2017-11,-0.000155,0.012031,0.012186
2017-12,0.006178,0.027115,0.020936
2018-01,0.060794,0.101104,0.040310
2018-02,-0.058996,-0.063990,-0.004994
2018-03,-0.031101,-0.050031,-0.018930
2018-04,-0.036327,-0.037721,-0.001394
2018-05,0.012111,0.033636,0.021525
2018-06,-0.076636,-0.049891,0.026746
2018-07,0.001903,0.000987,-0.000916
2018-08,-0.052069,-0.055009,-0.002941
2018-09,0.031297,0.058859,0.027562
2018-10,-0.082888,-0.137661,-0.054774
2018-11,0.005983,0.025174,0.019191
2018-12,-0.051073,-0.050999,0.000074
2019-01,0.063435,0.089087,0.025652
2019-02,0.146094,0.129855,-0.016239
2019-03,0.055315,0.090920,0.035605
2019-04,0.010554,0.020286,0.009732
2019-05,-0.072426,-0.023508,0.048919
2019-06,0.053943,0.060151,0.006208
2019-07,0.002554,0.010069,0.007515
2019-08,-0.009326,0.051071,0.060397
2019-09,0.003932,-0.014047,-0.017979
2019-10,0.018933,0.041249,0.022316
2019-11,-0.014943,-0.028927,-0.013984
