reference_date,implementation_date,implemented,n_members,n_financial_eligible,n_momentum_eligible,n_eligible,n_target,n_selected,n_buffer_retained,auto_cut,retain_cut,cap_multiple_used,cap_relaxations,cap_iterations,n_capped
2005-08-31,2005-09-16,True,300,231,297,229,46,46,0,36,55,20.0,0,2,2
2006-02-28,2006-03-17,True,300,224,298,224,45,45,7,36,54,20.0,0,2,1
2006-08-31,2006-09-15,True,300,244,295,241,48,48,5,38,57,20.0,0,2,1
2007-02-28,2007-03-16,True,300,250,283,244,49,49,6,39,58,20.0,0,2,2
2007-08-31,2007-09-21,True,300,260,276,246,49,49,5,39,58,20.0,0,3,4
2008-02-29,2008-03-21,True,300,254,279,242,48,48,5,38,57,20.0,0,1,0
2008-08-29,2008-09-19,True,300,258,283,244,49,49,8,39,58,20.0,0,3,3
2009-02-27,2009-03-20,True,300,246,292,239,48,48,5,38,57,20.0,0,2,1
2009-08-31,2009-09-18,True,300,236,295,231,46,46,5,36,55,20.0,0,2,3
2010-02-26,2010-03-19,True,300,243,296,240,48,48,6,38,57,20.0,0,3,2
2010-08-31,2010-09-17,True,300,264,285,252,50,50,5,40,60,20.0,0,2,1
2011-02-28,2011-03-18,True,300,263,284,249,50,50,9,40,60,20.0,0,2,1
2011-08-31,2011-09-16,True,300,269,283,254,51,51,4,40,61,20.0,0,3,2
2012-02-29,2012-03-16,True,300,264,293,259,52,52,7,41,62,20.0,0,3,3
2012-08-31,2012-09-21,True,300,262,294,256,51,51,6,40,61,20.0,0,2,2
2013-02-28,2013-03-15,True,300,257,295,253,51,51,9,40,61,20.0,0,2,2
2013-08-30,2013-09-18,True,300,259,297,257,51,51,5,40,61,20.0,0,2,1
2014-02-28,2014-03-21,True,300,259,297,257,51,51,9,40,61,20.0,0,1,0
2014-08-29,2014-09-19,True,300,268,293,262,52,52,1,41,62,20.0,0,2,2
2015-02-27,2015-03-20,True,300,270,294,266,53,53,5,42,63,20.0,0,2,2
2015-08-31,2015-09-18,True,300,263,292,256,51,51,6,40,61,20.0,0,1,0
2016-02-29,2016-03-18,True,300,250,285,236,47,47,2,37,56,20.0,0,2,3
2016-08-31,2016-09-14,True,300,256,286,244,49,49,5,39,58,20.0,0,3,2
2017-02-28,2017-03-17,True,300,262,284,248,50,50,2,40,60,20.0,0,2,2
2017-08-31,2017-09-15,True,300,274,276,252,50,50,7,40,60,20.0,0,3,3
2018-02-28,2018-03-16,True,300,273,286,266,53,53,6,42,63,20.0,0,3,4
2018-08-31,2018-09-21,True,300,272,283,260,52,52,10,41,62,20.0,0,2,2
2019-02-28,2019-03-15,True,300,273,288,265,53,53,6,42,63,20.0,0,2,2
2019-08-30,2019-09-20,True,300,273,293,266,53,53,5,42,63,20.0,0,2,2
2020-02-28,2020-03-20,True,300,280,294,274,55,55,9,44,66,20.0,0,2,1
2020-08-31,2020-09-18,True,300,273,295,269,54,54,11,43,64,20.0,0,2,1
2021-02-26,2021-03-19,True,300,281,295,276,55,55,4,44,66,20.0,0,3,2
2021-08-31,2021-09-17,True,300,276,299,275,55,55,8,44,66,20.0,0,1,0
2022-02-28,2022-03-18,True,300,278,296,274,55,55,2,44,66,20.0,0,2,2
2022-08-31,2022-09-16,True,300,275,295,270,54,54,7,43,64,20.0,0,2,1
2023-02-28,2023-03-17,True,300,277,300,277,55,55,6,44,66,20.0,0,2,1
2023-08-31,2023-09-15,True,300,277,300,277,55,55,3,44,66,20.0,0,2,2
2024-02-29,2024-03-15,True,300,277,299,276,55,55,10,44,66,20.0,0,3,4
2024-08-30,2024-09-20,True,300,270,299,269,54,54,5,43,64,20.0,0,3,4
2025-02-28,2025-03-21,True,300,270,300,270,54,54,8,43,64,20.0,0,2,2
2025-08-29,2025-09-19,True,300,272,299,271,54,54,8,43,64,20.0,0,2,2
2026-02-27,2026-03-20,True,300,275,299,274,55,55,7,44,66,20.0,0,2,2
2026-08-31,2026-09-18,False,300,272,299,271,54,54,8,43,64,20.0,0,2,1
