Date,Strategy,CSI300,Excess
2006-09-18,0.375432,0.421767,-0.046335
2006-09-19,0.387454,0.419270,-0.031816
2006-09-20,0.402357,0.433030,-0.030673
2006-09-21,0.443286,0.469034,-0.025748
2006-09-22,0.461243,0.489109,-0.027866
2006-09-25,0.462301,0.498008,-0.035707
2006-09-26,0.429486,0.478133,-0.048647
2006-09-27,0.447484,0.516373,-0.068889
2006-09-28,0.477766,0.534767,-0.057001
2006-09-29,0.476874,0.531988,-0.055114
2006-10-09,0.507012,0.565387,-0.058375
2006-10-10,0.516284,0.584061,-0.067777
2006-10-11,0.498259,0.561247,-0.062988
2006-10-12,0.462020,0.544684,-0.082664
2006-10-13,0.475989,0.561244,-0.085255
2006-10-16,0.474733,0.567720,-0.092987
2006-10-17,0.494244,0.575778,-0.081534
2006-10-18,0.507156,0.593127,-0.085971
2006-10-19,0.514728,0.601553,-0.086826
2006-10-20,0.508787,0.600342,-0.091555
2006-10-23,0.469627,0.557612,-0.087985
2006-10-24,0.497754,0.588320,-0.090565
2006-10-25,0.542851,0.617889,-0.075038
2006-10-26,0.564171,0.662556,-0.098385
2006-10-27,0.528866,0.643032,-0.114166
2006-10-30,0.536388,0.666694,-0.130305
2006-10-31,0.523177,0.671235,-0.148058
2006-11-01,0.548138,0.694880,-0.146742
2006-11-02,0.540946,0.676707,-0.135761
2006-11-03,0.567867,0.701720,-0.133852
2006-11-06,0.560257,0.716711,-0.156454
2006-11-07,0.570497,0.728183,-0.157685
2006-11-08,0.567142,0.699530,-0.132389
2006-11-09,0.570777,0.734103,-0.163326
2006-11-10,0.569270,0.742888,-0.173618
2006-11-13,0.539247,0.706518,-0.167271
2006-11-14,0.580505,0.732622,-0.152117
2006-11-15,0.633160,0.791604,-0.158445
2006-11-16,0.644999,0.776451,-0.131451
2006-11-17,0.653347,0.810771,-0.157425
2006-11-20,0.633783,0.805812,-0.172030
2006-11-21,0.651940,0.824080,-0.172141
2006-11-22,0.690868,0.867517,-0.176649
2006-11-23,0.681111,0.865846,-0.184735
2006-11-24,0.702812,0.856606,-0.153794
2006-11-27,0.733818,0.868320,-0.134502
2006-11-28,0.734364,0.867832,-0.133468
2006-11-29,0.810170,0.913372,-0.103202
2006-11-30,0.871698,0.961892,-0.090194
2006-12-01,0.921022,0.980620,-0.059598
2006-12-04,0.967418,1.046969,-0.079550
2006-12-05,0.995405,1.087261,-0.091856
2006-12-06,0.957922,1.054556,-0.096635
2006-12-07,0.901192,1.032077,-0.130885
2006-12-08,0.840455,0.958195,-0.117740
2006-12-11,0.896608,1.017129,-0.120521
2006-12-12,0.909080,1.028981,-0.119901
2006-12-13,0.924050,1.028861,-0.104811
2006-12-14,0.965746,1.044358,-0.078612
2006-12-15,1.024173,1.083420,-0.059247
2006-12-18,1.088951,1.122972,-0.034021
2006-12-19,1.077840,1.128053,-0.050213
2006-12-20,1.097618,1.134363,-0.036745
2006-12-21,1.058212,1.113725,-0.055513
2006-12-22,1.012126,1.085986,-0.073860
2006-12-25,1.027473,1.117176,-0.089702
2006-12-26,1.017773,1.101347,-0.083573
2006-12-27,1.082166,1.156805,-0.074639
2006-12-28,1.084118,1.149948,-0.065829
2006-12-29,1.105843,1.189897,-0.084055
2007-01-04,1.072014,1.195692,-0.123677
2007-01-05,1.018610,1.161209,-0.142598
2007-01-08,1.049922,1.197417,-0.147495
