Date,Strategy,CSI300,Excess
2008-09-16,0.197964,0.274012,-0.076048
2008-09-17,0.195757,0.258648,-0.062891
2008-09-18,0.191090,0.251397,-0.060307
2008-09-19,0.223865,0.287598,-0.063732
2008-09-22,0.260332,0.337205,-0.076872
2008-09-23,0.244769,0.323408,-0.078639
2008-09-24,0.251119,0.326594,-0.075474
2008-09-25,0.263488,0.343875,-0.080387
2008-09-26,0.267311,0.346772,-0.079462
2008-10-06,0.242135,0.323895,-0.081760
2008-10-07,0.235078,0.318430,-0.083353
2008-10-08,0.222359,0.301584,-0.079225
2008-10-09,0.214317,0.295641,-0.081325
2008-10-10,0.199034,0.280935,-0.081901
2008-10-13,0.200667,0.293933,-0.093265
2008-10-14,0.197498,0.288278,-0.090780
2008-10-15,0.188112,0.283765,-0.095653
2008-10-16,0.168886,0.262524,-0.093639
2008-10-17,0.174486,0.268753,-0.094267
2008-10-20,0.183196,0.282135,-0.098939
2008-10-21,0.182779,0.276555,-0.093775
2008-10-22,0.176105,0.265584,-0.089479
2008-10-23,0.181387,0.265920,-0.084533
2008-10-24,0.174460,0.252536,-0.078076
2008-10-27,0.158705,0.236215,-0.077510
2008-10-28,0.172449,0.252707,-0.080258
2008-10-29,0.162983,0.240945,-0.077962
2008-10-30,0.170912,0.250706,-0.079794
2008-10-31,0.159020,0.238247,-0.079227
2008-11-03,0.162121,0.236531,-0.074410
2008-11-04,0.153324,0.228304,-0.074980
2008-11-05,0.165007,0.244112,-0.079105
2008-11-06,0.154404,0.233818,-0.079414
2008-11-07,0.158838,0.241280,-0.082443
2008-11-10,0.186019,0.278085,-0.092066
2008-11-11,0.180519,0.272371,-0.091852
2008-11-12,0.185106,0.277224,-0.092117
2008-11-13,0.201935,0.294074,-0.092140
2008-11-14,0.226161,0.311229,-0.085068
2008-11-17,0.244799,0.320696,-0.075897
2008-11-18,0.212640,0.277604,-0.064963
2008-11-19,0.238683,0.303318,-0.064635
2008-11-20,0.236053,0.298691,-0.062638
2008-11-21,0.227068,0.295269,-0.068201
2008-11-24,0.211581,0.277461,-0.065880
2008-11-25,0.211005,0.275422,-0.064417
2008-11-26,0.211753,0.277553,-0.065800
