Date,MA20,MA50,MA100,MA200
2005-09-16,,,,
2005-09-19,,,,
2005-09-20,,,,
2005-09-21,,,,
2005-09-22,,,,
2005-09-23,,,,
2005-09-26,,,,
2005-09-27,,,,
2005-09-28,,,,
2005-09-29,,,,
2005-09-30,,,,
2005-10-10,,,,
2005-10-11,,,,
2005-10-12,,,,
2005-10-13,,,,
2005-10-14,,,,
2005-10-17,,,,
2005-10-18,,,,
2005-10-19,,,,
2005-10-20,963.9480,,,
2005-10-21,961.6072,,,
2005-10-24,959.5291,,,
2005-10-25,957.2445,,,
2005-10-26,955.1305,,,
2005-10-27,953.7546,,,
2005-10-28,952.2255,,,
2005-10-31,951.1300,,,
2005-11-01,950.2451,,,
2005-11-02,949.3813,,,
2005-11-03,947.2826,,,
2005-11-04,945.1832,,,
2005-11-07,943.0448,,,
2005-11-08,940.5377,,,
2005-11-09,938.0214,,,
2005-11-10,935.4965,,,
2005-11-11,933.8851,,,
2005-11-14,932.0287,,,
2005-11-15,929.5773,,,
2005-11-16,927.1162,,,
2005-11-17,924.3965,,,
2005-11-18,922.4280,,,
2005-11-21,920.6134,,,
2005-11-22,919.0868,,,
2005-11-23,918.6183,,,
2005-11-24,918.0721,,,
2005-11-25,917.9004,,,
2005-11-28,916.9754,,,
2005-11-29,915.6901,,,
2005-11-30,913.9446,,,
2005-12-01,912.6304,937.9250,,
2005-12-02,910.8699,935.7822,,
2005-12-05,909.1561,933.5813,,
2005-12-06,907.6063,931.6405,,
2005-12-07,906.3804,930.2533,,
2005-12-08,905.8358,929.1471,,
2005-12-09,905.6713,928.3182,,
2005-12-12,905.9105,927.3521,,
2005-12-13,906.4326,926.4816,,
2005-12-14,907.6195,925.8244,,
2005-12-15,908.8737,924.9274,,
2005-12-16,909.6724,924.1221,,
2005-12-19,910.1479,923.4152,,
2005-12-20,911.1339,922.6032,,
2005-12-21,911.7950,921.7249,,
2005-12-22,912.8337,921.2500,,
2005-12-23,914.3146,921.2806,,
2005-12-26,915.9552,921.4478,,
2005-12-27,917.7677,921.4036,,
2005-12-28,920.1610,921.4647,,
2005-12-29,923.4264,921.7164,,
2005-12-30,926.4043,921.7010,,
2006-01-04,930.7672,922.0766,,
2006-01-05,936.3184,923.2701,,
2006-01-06,941.5999,924.8411,,
2006-01-09,946.8940,926.4029,,
2006-01-10,951.7366,928.1226,,
2006-01-11,956.5911,929.5366,,
2006-01-12,961.7161,931.0700,,
2006-01-13,965.8697,932.4197,,
2006-01-16,969.2532,933.7157,,
2006-01-17,972.4113,935.0133,,
2006-01-18,976.4269,936.7680,,
2006-01-19,980.3980,938.5473,,
2006-01-20,984.2811,940.2288,,
2006-01-23,987.5690,942.0790,,
2006-01-24,990.7224,944.0155,,
2006-01-25,994.8321,946.5691,,
2006-02-06,1000.3626,949.7177,,
2006-02-07,1005.4639,952.8038,,
2006-02-08,1009.7013,955.8383,,
2006-02-09,1013.9004,958.2900,,
2006-02-10,1017.8318,960.9640,,
2006-02-13,1020.7687,963.9428,,
2006-02-14,1023.9303,966.9659,,
2006-02-15,1026.9268,969.9447,,
2006-02-16,1028.9743,972.5522,,
2006-02-17,1031.1228,975.1955,,
