Date,Open,High,Low,Close,Volume
2005-09-16,1000.0000,1000.0000,1000.0000,1000.0000,
2005-09-19,999.0088,1006.6247,987.3876,996.4068,
2005-09-20,995.5146,1002.2351,980.7644,988.1820,
2005-09-21,986.1362,991.9382,965.1700,970.0440,
2005-09-22,969.4743,975.5428,947.0177,957.9137,
2005-09-23,955.5811,968.5087,945.0579,954.6913,
2005-09-26,953.3280,967.9919,946.1368,958.6488,
2005-09-27,958.7374,968.6487,944.2971,951.7484,
2005-09-28,951.9331,964.7866,943.5748,953.9745,
2005-09-29,957.1754,973.1595,950.9137,966.3826,
2005-09-30,966.8170,980.1973,955.3322,970.0553,
2005-10-10,968.9282,980.0734,953.1554,963.4069,
2005-10-11,961.9179,976.0743,954.3432,972.2802,
2005-10-12,972.1032,986.4977,959.7822,975.5272,
2005-10-13,974.8896,983.3990,957.2207,963.9957,
2005-10-14,963.0272,974.8446,937.9646,948.7624,
2005-10-17,946.2110,958.8512,927.5439,942.6891,
2005-10-18,941.2322,958.7737,929.8497,946.8061,
2005-10-19,944.4689,960.1643,936.1073,946.5990,
2005-10-20,946.9739,960.8668,932.2101,950.8452,
2005-10-21,949.3780,963.9397,939.0821,953.1857,
2005-10-24,953.0928,964.8361,940.2412,954.8432,
2005-10-25,953.0669,958.4479,933.8789,942.4915,
2005-10-26,937.4224,945.8880,916.5597,927.7635,
2005-10-27,923.7675,942.4439,913.5136,930.3961,
2005-10-28,929.4152,940.4788,909.4033,924.1089,
2005-10-31,922.4586,947.2296,916.0932,936.7387,
2005-11-01,935.0876,945.0294,918.8425,934.0496,
2005-11-02,932.7263,948.4416,925.9854,936.6994,
2005-11-03,936.8444,942.5940,916.5343,924.4077,
2005-11-04,918.5510,935.5833,908.3930,928.0686,
2005-11-07,924.3212,931.8862,907.9889,920.6383,
2005-11-08,918.1168,927.7793,909.6424,922.1385,
2005-11-09,922.2165,936.6770,913.7900,925.2009,
2005-11-10,924.0761,930.8695,906.8014,913.4973,
2005-11-11,911.1376,924.4890,902.0965,916.5342,
