Date,Open,High,Low,Close
2005-09-30,1000.0000,1006.6247,943.5748,970.0553
2005-10-31,968.9282,986.4977,909.4033,936.7387
2005-11-30,935.0876,948.4416,879.9812,901.7894
2005-12-30,900.8629,974.5748,875.1541,952.4169
2006-01-25,961.0349,1042.4653,950.5359,1033.2442
2006-02-28,1037.5798,1085.4547,1025.6148,1056.7658
2006-03-31,1058.0525,1099.4393,995.6521,1076.8941
2006-04-28,1079.0157,1257.7870,1072.9644,1244.5411
2006-05-31,1254.9209,1453.9881,1249.9736,1375.3099
2006-06-30,1371.5666,1431.0909,1219.6112,1359.2770
2006-07-31,1365.2139,1414.7482,1247.9798,1256.9958
2006-08-31,1256.8640,1352.7468,1177.9259,1331.7508
2006-09-29,1333.9026,1445.9223,1303.1663,1427.2249
2006-10-31,1442.9827,1492.8441,1381.1369,1426.8192
2006-11-30,1428.1467,1719.3186,1380.3903,1687.8772
2006-12-29,1690.9162,2079.0557,1636.7524,2028.8335
2007-01-31,2056.7029,2691.1532,1955.1303,2421.0150
2007-02-28,2386.8743,2791.5484,2217.4389,2512.3595
2007-03-30,2528.9485,2862.0519,2368.2188,2775.6262
2007-04-30,2790.6376,3504.0416,2762.3467,3460.3480
2007-05-31,3548.2628,4174.3653,3419.6492,3901.0049
2007-06-29,3927.0335,4377.4271,3330.9299,3888.6736
2007-07-31,3876.7698,4800.4613,3643.1847,4715.3607
2007-08-31,4736.2903,5865.1707,4495.5337,5660.8093
2007-09-28,5693.2386,5872.1690,5198.9643,5748.0136
2007-10-31,5897.5577,6332.4606,5664.8147,6234.4074
2007-11-30,6212.8078,6347.4470,4814.7715,5019.4959
2007-12-28,5000.1337,5541.4682,4804.9473,5446.6230
2008-01-31,5460.6767,6058.2162,4645.1486,4729.6372
2008-02-29,4741.8374,5245.3633,4355.0705,4713.6252
2008-03-31,4680.1673,4928.8889,3670.6705,3854.0440
2008-04-30,3842.8367,3994.1839,3120.7593,3929.0525
