Date,Open,High,Low,Close
2005-09-16,1000.0000,1000.0000,1000.0000,1000.0000
2005-09-23,999.0088,1006.6247,945.0579,954.6913
2005-09-30,953.3280,980.1973,943.5748,970.0553
2005-10-14,968.9282,986.4977,937.9646,948.7624
2005-10-21,946.2110,963.9397,927.5439,953.1857
2005-10-28,953.0928,964.8361,909.4033,924.1089
2005-11-04,922.4586,948.4416,908.3930,928.0686
2005-11-11,924.3212,936.6770,902.0965,916.5342
2005-11-18,915.3227,925.1538,879.9812,913.8173
2005-11-25,914.4759,928.5815,905.9348,920.6746
2005-12-02,918.7080,926.3380,881.1492,892.8582
2005-12-09,895.7622,918.4810,875.1541,913.2443
2005-12-16,910.1424,934.6640,896.1463,929.7903
2005-12-23,928.3508,954.4202,920.3217,950.2922
2005-12-30,950.7330,974.5748,935.7542,952.4169
2006-01-06,961.0349,1022.6972,950.5359,1006.3148
2006-01-13,1006.3615,1023.9753,988.6879,1004.1873
2006-01-20,1003.5292,1022.5228,979.8287,1009.2755
2006-01-25,1009.6887,1042.4653,991.0806,1033.2442
2006-02-10,1037.5798,1069.6413,1025.6148,1052.2489
2006-02-17,1058.6309,1085.4547,1038.8240,1050.4070
2006-02-24,1047.8633,1072.7656,1035.9065,1067.0430
2006-03-03,1057.5018,1072.7826,1021.8593,1036.1908
2006-03-10,1036.7418,1045.4096,995.6521,1013.2856
2006-03-17,1013.1765,1042.4580,1009.5827,1025.0124
2006-03-24,1025.7848,1075.1506,1017.5129,1057.3846
2006-03-31,1056.8099,1099.4393,1046.4320,1076.8941
2006-04-07,1079.0157,1149.4842,1072.9644,1125.1677
2006-04-14,1126.2017,1147.1127,1085.2785,1116.8067
2006-04-21,1120.3597,1199.6375,1103.9934,1183.9567
2006-04-28,1203.5275,1257.7870,1170.0475,1244.5411
2006-05-12,1254.9209,1377.9300,1249.9736,1359.4181
2006-05-19,1380.4315,1453.9881,1309.0954,1395.0777
2006-05-26,1388.0671,1416.7426,1285.1779,1340.6941
2006-06-02,1346.6056,1431.0909,1320.9558,1372.0069
2006-06-09,1362.6035,1391.8592,1230.8866,1251.8933
2006-06-16,1239.9624,1313.3538,1219.6112,1302.9567
2006-06-23,1285.1323,1341.7133,1265.4146,1314.7478
2006-06-30,1312.8833,1392.0319,1302.9245,1359.2770
2006-07-07,1365.2139,1413.2819,1335.2415,1369.6415
2006-07-14,1371.6066,1414.7482,1293.8384,1332.7305
2006-07-21,1330.8134,1363.3312,1284.8704,1326.9343
2006-07-28,1307.9208,1366.1803,1282.5254,1302.7187
2006-08-04,1298.6128,1305.5763,1197.9593,1206.8697
2006-08-11,1197.0376,1258.7168,1177.9259,1245.8404
2006-08-18,1243.7089,1270.8759,1203.3805,1245.3191
2006-08-25,1214.2060,1298.3740,1205.4062,1279.8011
2006-09-01,1282.3034,1352.7468,1271.1950,1314.2993
2006-09-08,1311.7949,1360.8329,1303.1663,1338.0060
2006-09-15,1334.9696,1373.6090,1315.0605,1354.9483
2006-09-22,1360.5795,1428.5423,1341.7266,1399.7448
2006-09-29,1394.1172,1445.9223,1349.8884,1427.2249
2006-10-13,1442.9827,1492.8441,1406.0053,1422.8466
2006-10-20,1425.6663,1455.8620,1382.7349,1434.6227
2006-10-27,1434.5899,1475.4139,1381.1369,1422.4513
2006-11-03,1420.7179,1478.9598,1387.3324,1449.3487
2006-11-10,1438.7895,1479.3169,1415.0998,1433.5239
2006-11-17,1421.2221,1517.3318,1380.3903,1482.1431
2006-11-24,1478.7281,1585.8649,1451.0652,1565.6889
2006-12-01,1569.0989,1764.4073,1541.3794,1725.3162
2006-12-08,1730.7752,1822.1073,1636.7524,1661.2021
2006-12-15,1654.3437,1891.2662,1647.0360,1865.3442
2006-12-22,1876.3681,1992.5822,1853.4234,1891.8959
2006-12-29,1894.5702,2079.0557,1878.8247,2028.8335
2007-01-05,2056.7029,2123.4776,1955.1303,2022.9818
2007-01-12,2015.0285,2296.4547,1963.2693,2202.8069
2007-01-19,2202.4697,2579.8585,2184.1656,2530.8744
2007-01-26,2568.4511,2688.6200,2399.5451,2596.7298
2007-02-02,2610.9702,2691.1532,2321.2849,2365.4356
2007-02-09,2350.0366,2485.4034,2217.4389,2428.5030
2007-02-16,2423.8898,2791.5484,2394.6301,2691.2729
2007-03-02,2702.4712,2749.5074,2363.6345,2485.1699
2007-03-09,2471.9366,2719.7145,2368.2188,2631.3333
2007-03-16,2625.3400,2715.1126,2525.0544,2626.6842
2007-03-23,2567.7447,2769.3621,2545.2860,2689.1584
2007-03-30,2700.6112,2862.0519,2629.0952,2775.6262
2007-04-06,2790.6376,3040.8375,2762.3467,2985.2290
2007-04-13,2998.9042,3294.0565,2971.7074,3206.2366
2007-04-20,3211.8577,3366.0685,3032.6541,3256.7421
2007-04-27,3288.7505,3472.0996,3241.9788,3367.7625
2007-04-30,3357.8443,3504.0416,3317.9080,3460.3480
2007-05-11,3548.2628,3695.2135,3419.6492,3602.5362
2007-05-18,3570.7411,3822.8384,3514.5783,3735.3539
2007-05-25,3607.9218,4000.7893,3584.2174,3948.8150
