,CSI300,CSI300_SP_FV_SPMO,CSI300_SP_FV_SPMO_Net,CSI300_TR,CSI300_SP_FV_SPMO_TR
Start,2005-09-16,2005-09-16,2005-09-16,2005-09-16,2005-09-16
End,2026-09-09,2026-09-09,2026-09-09,2026-09-09,2026-09-09
Final_Value_of_100,472.6201550387598,715.6296497185022,649.8403729639402,700.1408867699155,1051.81612299544
Total_Return,3.7262015503875974,6.156296497185021,5.498403729639403,6.001408867699156,9.518161229954401
CAGR,0.0768371226899891,0.09834290770931342,0.09330591947796729,0.09719799050450972,0.11869022216857417
Annualized_Volatility,0.246916620735187,0.2670612194398552,0.2669900494083199,0.2469269600313195,0.26691760469680925
Sharpe_Ratio,0.4251992543309169,0.4869888631814396,0.46975069683592086,0.5014120937456346,0.5562145735878562
Sortino_Ratio,0.5923314474324453,0.6807754660029994,0.6561623005666415,0.7005520518540903,0.7794101491526011
Maximum_Drawdown,-0.7230381814469475,-0.7716301121224585,-0.7739454372885165,-0.7203562459151818,-0.7699338440453831
MDD_Peak_Date,2007-10-16,2007-10-31,2007-10-31,2007-10-16,2007-10-31
MDD_Bottom_Date,2008-11-04,2008-11-04,2008-11-04,2008-11-04,2008-11-04
MDD_Recovery_Date,,2020-07-13,2020-10-13,2015-06-05,2020-06-18
MDD_Days_to_Bottom,385,370,370,385,370
MDD_Days_to_Recovery,,4269.0,4361.0,2404.0,4244.0
Calmar_Ratio,0.10626979966150926,0.12744825035250348,0.1205587822894343,0.13493044733862736,0.15415639030095432
Best_Year,2007 (+161.5%),2007 (+168.5%),2007 (+166.5%),2007 (+163.3%),2007 (+170.2%)
Worst_Year,2008 (-65.9%),2008 (-69.0%),2008 (-69.3%),2008 (-65.6%),2008 (-68.7%)
Positive_Year_Ratio,0.5,0.5909090909090909,0.5454545454545454,0.5454545454545454,0.5909090909090909
Monthly_Win_Rate,0.5573122529644269,0.5612648221343873,0.5612648221343873,0.5810276679841897,0.5691699604743083
Annualized_Excess_Return,,0.02150578501932432,0.01646879678797819,,
Tracking_Error,,0.10637487643111522,0.10642053775578653,,
Information_Ratio,,0.20216977674470663,0.15475205383542345,,
Beta_vs_CSI300,,0.9921127486578171,0.9917213539185636,,
Alpha_vs_CSI300,,0.026231931606757408,0.02152666017996996,,
Average_Annual_Turnover,,1.07744266359561,,,
Average_Rebalance_Turnover,,0.5513392518410818,,,
Maximum_Rebalance_Turnover,,0.8277198213399104,,,
Gross_CAGR,,0.09834290770931342,,,
Net_CAGR,,0.09330591947796729,,,
Annual_Cost_Drag,,0.005036988231346129,,,
