reference_date,effective_date,n_holdings,one_way_turnover,buy_turnover,sell_turnover,cost_rate,cost
2005-08-31,2005-09-16,46,1.000000,1.000000,0.000000,0.002810,0.002810
2006-02-28,2006-03-17,45,0.429432,0.429432,0.429432,0.005620,0.002413
2006-08-31,2006-09-15,48,0.642170,0.642170,0.642170,0.005620,0.003609
2007-02-28,2007-03-16,49,0.603835,0.603835,0.603835,0.005620,0.003394
2007-08-31,2007-09-21,49,0.397171,0.397171,0.397171,0.009620,0.003821
2008-02-29,2008-03-21,48,0.753356,0.753356,0.753356,0.009620,0.007247
2008-08-29,2008-09-19,49,0.630369,0.630369,0.630369,0.004620,0.002912
2009-02-27,2009-03-20,48,0.737980,0.737980,0.737980,0.004620,0.003409
2009-08-31,2009-09-18,46,0.675455,0.675455,0.675455,0.004620,0.003121
2010-02-26,2010-03-19,48,0.665626,0.665626,0.665626,0.004620,0.003075
2010-08-31,2010-09-17,50,0.543866,0.543866,0.543866,0.004620,0.002513
2011-02-28,2011-03-18,50,0.629391,0.629391,0.629391,0.004620,0.002908
2011-08-31,2011-09-16,51,0.520971,0.520971,0.520971,0.004620,0.002407
2012-02-29,2012-03-16,52,0.663153,0.663153,0.663153,0.004620,0.003064
2012-08-31,2012-09-21,51,0.609270,0.609270,0.609270,0.004620,0.002815
2013-02-28,2013-03-15,51,0.480334,0.480334,0.480334,0.003620,0.001739
2013-08-30,2013-09-18,51,0.490783,0.490783,0.490783,0.003620,0.001777
2014-02-28,2014-03-21,51,0.513688,0.513688,0.513688,0.003620,0.001860
2014-08-29,2014-09-19,52,0.790492,0.790492,0.790492,0.003620,0.002862
2015-02-27,2015-03-20,53,0.683777,0.683777,0.683777,0.003620,0.002475
2015-08-31,2015-09-18,51,0.542153,0.542153,0.542153,0.003620,0.001963
2016-02-29,2016-03-18,47,0.827720,0.827720,0.827720,0.003620,0.002996
2016-08-31,2016-09-14,49,0.607428,0.607428,0.607428,0.003620,0.002199
2017-02-28,2017-03-17,50,0.487777,0.487777,0.487777,0.003620,0.001766
2017-08-31,2017-09-15,50,0.391287,0.391287,0.391287,0.003620,0.001416
2018-02-28,2018-03-16,53,0.302587,0.302587,0.302587,0.003620,0.001095
2018-08-31,2018-09-21,52,0.412972,0.412972,0.412972,0.003620,0.001495
2019-02-28,2019-03-15,53,0.460411,0.460411,0.460411,0.003620,0.001667
2019-08-30,2019-09-20,53,0.609989,0.609989,0.609989,0.003620,0.002208
2020-02-28,2020-03-20,55,0.475664,0.475664,0.475664,0.003620,0.001722
2020-08-31,2020-09-18,54,0.361214,0.361214,0.361214,0.003620,0.001308
2021-02-26,2021-03-19,55,0.410277,0.410277,0.410277,0.003620,0.001485
2021-08-31,2021-09-17,55,0.507512,0.507512,0.507512,0.003620,0.001837
2022-02-28,2022-03-18,55,0.720726,0.720726,0.720726,0.003620,0.002609
2022-08-31,2022-09-16,54,0.488377,0.488377,0.488377,0.003620,0.001768
2023-02-28,2023-03-17,55,0.616890,0.616890,0.616890,0.003620,0.002233
2023-08-31,2023-09-15,55,0.613396,0.613396,0.613396,0.003120,0.001914
2024-02-29,2024-03-15,55,0.434777,0.434777,0.434777,0.003120,0.001357
2024-08-30,2024-09-20,54,0.270787,0.270787,0.270787,0.003120,0.000845
2025-02-28,2025-03-21,54,0.506876,0.506876,0.506876,0.003120,0.001581
2025-08-29,2025-09-19,54,0.441311,0.441311,0.441311,0.003120,0.001377
2026-02-27,2026-03-20,55,0.653658,0.653658,0.653658,0.003120,0.002039
