Date,Selected_basket_capweighted,Selected_basket_equalweighted,CSI300_replica_proxy
2005-09-16,100.000000,100.000000,100.000000
2005-09-19,99.687576,99.960294,100.333341
2005-09-20,98.802199,98.982409,99.378272
2005-09-21,96.866204,97.185385,97.540757
2005-09-22,95.642524,96.023843,95.378422
2005-09-23,95.261751,95.736366,94.644850
2005-09-26,95.740231,96.151268,94.876989
2005-09-27,94.925164,95.444059,93.387364
2005-09-28,95.100890,95.298954,93.338873
2005-09-29,96.368443,96.529852,94.617039
2005-09-30,96.768332,97.090647,94.763014
2005-10-10,96.031315,95.990850,93.690204
2005-10-11,96.938426,96.994814,94.964528
2005-10-12,97.194076,97.565847,95.350353
2005-10-13,96.029648,96.562382,94.598552
2005-10-14,94.585330,94.961400,93.419336
2005-10-17,93.948400,94.352807,92.667132
2005-10-18,94.222900,94.576728,93.169975
2005-10-19,94.113158,94.512456,92.770989
2005-10-20,94.682947,94.727525,92.876196
2005-10-21,94.892127,95.040548,93.301802
2005-10-24,94.989017,95.205086,93.085310
2005-10-25,93.689135,93.187521,91.778577
2005-10-26,92.033665,91.477007,89.292732
2005-10-27,92.330846,91.574165,89.183515
2005-10-28,91.651590,90.940425,88.171636
2005-10-31,92.951470,91.987070,88.901345
2005-11-01,92.731462,91.537598,88.556713
2005-11-02,93.048874,92.014261,89.506205
2005-11-03,91.921363,90.693989,88.666775
2005-11-04,92.309960,90.991449,89.012956
2005-11-07,91.500161,90.458721,88.643413
2005-11-08,91.692235,90.752483,88.996491
2005-11-09,91.928350,90.830856,88.769760
2005-11-10,90.745411,89.442612,87.060438
2005-11-11,91.044909,89.522155,87.283733
2005-11-14,89.954555,88.497644,86.911410
2005-11-15,89.142427,87.609270,86.440781
2005-11-16,89.156879,87.648382,87.088353
2005-11-17,89.125773,87.609303,86.988680
2005-11-18,90.999174,89.575470,88.832836
2005-11-21,91.390577,90.002250,88.702470
2005-11-22,90.590442,88.992984,87.257201
2005-11-23,91.223433,89.553103,87.897202
2005-11-24,91.453224,89.738065,88.420104
