variant,group,CAGR_net,CAGR_gross,Vol,Sharpe,MaxDD,Turnover_pa,N,EffN,Rebalances,Final_net,CAGR_net_first_half,CAGR_net_second_half
A 本指数：top20%，半年，FMC×Score+上限，FV，缓冲，三周后实施,基准,0.113308,0.118545,0.268639,0.535825,-0.772267,1.077946,51.395349,25.310091,43,908.533673,0.116119,0.119313
B1 成分数 top10%,成分数,0.103523,0.109762,0.285459,0.489606,-0.797964,1.306619,25.767442,18.230661,43,757.744725,0.093367,0.121544
B2 成分数 top5%,成分数,0.109468,0.116577,0.301266,0.497196,-0.809209,1.472258,12.906977,12.071095,43,846.240487,0.110969,0.117794
B3 成分数 固定20只,成分数,0.112315,0.118699,0.289873,0.513973,-0.789583,1.327932,20.000000,15.879261,43,892.022149,0.118733,0.115173
C 频率 季度,频率,0.108803,0.116316,0.270730,0.518739,-0.760071,1.536282,51.174419,24.928102,86,835.874886,0.106799,0.117983
D1 加权 等权,加权,0.114643,0.120036,0.275633,0.533661,-0.781571,1.110182,51.395349,51.395349,43,931.196816,0.146005,0.094942
D2 加权 仅FMC,加权,0.112811,0.117988,0.266239,0.536565,-0.767576,1.062525,51.395349,26.132094,43,900.232927,0.118325,0.116179
D3 加权 √FMC×Score,加权,0.113703,0.119003,0.271257,0.534638,-0.777663,1.092960,51.395349,38.114699,43,915.193444,0.127171,0.110029
E 无财务资格筛选,筛选,0.108510,0.113660,0.267854,0.520420,-0.772942,1.061417,58.441860,27.583248,43,831.336111,0.109257,0.116383
F 无缓冲,筛选,0.113967,0.119477,0.268015,0.538671,-0.768782,1.134524,51.395349,25.213078,43,919.649483,0.113928,0.122615
L 参考日收盘实施（无三周延迟）,实施时点,0.100535,0.105719,0.269618,0.491934,-0.762283,1.076877,51.395349,25.310091,43,716.664838,0.112074,0.098352
G1 top10%+季度,折中,0.103683,0.112548,0.289131,0.487568,-0.766952,1.867266,25.686047,18.010447,86,760.005914,0.120146,0.096770
G2 季度+参考日实施,折中,0.106950,0.114311,0.271764,0.511632,-0.736511,1.501706,51.302326,24.975158,86,807.611644,0.120156,0.102108
G3 top10%+季度+参考日实施,折中,0.109321,0.118140,0.291700,0.503359,-0.738252,1.849014,25.720930,18.031706,86,843.934365,0.150295,0.080697
G4 top10%+季度+参考日实施+√FMC×Score,折中,0.107410,0.116268,0.289450,0.499057,-0.737660,1.857164,25.720930,20.722040,86,814.541763,0.148387,0.078809
H1 20只+季度+等权+无FV/缓冲,HSMO 端点,0.098083,0.108631,0.290951,0.468800,-0.755736,2.234892,19.965116,19.965116,86,684.539880,0.139925,0.068163
H2 H1 + 参考日实施,HSMO 端点,0.116614,0.127422,0.294118,0.524009,-0.713122,2.253133,20.000000,20.000000,86,965.648651,0.193146,0.057498
