reference_date,members,financial_eligible,momentum_eligible,eligible,selected,z_clipped,score_max,score_median,score_cutoff,fail:no financial statements,fail:latest quarter <= 0; trailing 4Q sum <= 0,fail:trailing 4Q sum <= 0,fail:latest quarter <= 0,fail:no report public by reference date,fail:only 3 consecutive quarters public,fail:only 1 consecutive quarters public,fail:only 2 consecutive quarters public
2005-08-31,300,231,297,229,46,3,4.0,0.8315337503,1.597808193,39.0,16,6,6,1.0,1.0,0.0,0.0
2006-02-28,300,224,298,224,45,1,4.0,0.7967108666,1.683955729,35.0,18,8,12,0.0,2.0,1.0,0.0
2006-08-31,300,244,295,241,48,3,4.0,0.8096478567,1.736985034,23.0,14,12,4,0.0,1.0,0.0,2.0
2007-02-28,300,250,283,244,49,6,4.0,0.8216163374500001,1.413449586,24.0,4,9,4,2.0,3.0,3.0,1.0
2007-08-31,300,260,276,246,49,3,4.0,0.86894205435,1.620217159,23.0,2,4,1,2.0,1.0,0.0,7.0
2008-02-29,300,254,279,242,48,4,4.0,0.83077781485,1.55357039,21.0,3,4,3,0.0,12.0,3.0,0.0
2008-08-29,300,258,283,244,49,2,4.0,0.8118987340999999,1.634392269,20.0,3,2,11,0.0,4.0,1.0,1.0
2009-02-27,300,246,292,239,48,3,4.0,0.8604582817,1.526994669,20.0,12,3,16,0.0,3.0,0.0,0.0
2009-08-31,300,236,295,231,46,2,4.0,0.8256526657,1.738164624,17.0,16,24,7,0.0,0.0,0.0,0.0
2010-02-26,300,243,296,240,48,2,4.0,0.8631061144,1.637979757,16.0,6,30,4,0.0,1.0,0.0,0.0
2010-08-31,300,264,285,252,50,3,4.0,0.7898416987,1.550393835,18.0,2,7,8,0.0,0.0,0.0,1.0
2011-02-28,300,263,284,249,50,3,4.0,0.8216211476,1.549119522,19.0,5,1,10,0.0,2.0,0.0,0.0
2011-08-31,300,269,283,254,51,1,4.0,0.8622014269,1.662954451,16.0,3,3,9,0.0,0.0,0.0,0.0
2012-02-29,300,264,293,259,52,1,4.0,0.9502470245,1.733011169,15.0,4,3,14,0.0,0.0,0.0,0.0
2012-08-31,300,262,294,256,51,1,4.0,0.7952698778,1.739293073,16.0,8,3,11,0.0,0.0,0.0,0.0
2013-02-28,300,257,295,253,51,3,4.0,0.8036951998,1.539960775,15.0,11,3,14,0.0,0.0,0.0,0.0
2013-08-30,300,259,297,257,51,3,4.0,0.8999936505,1.59522425,15.0,12,10,4,0.0,0.0,0.0,0.0
2014-02-28,300,259,297,257,51,1,4.0,0.8675275332,1.829550395,12.0,9,10,10,0.0,0.0,0.0,0.0
2014-08-29,300,268,293,262,52,1,4.0,0.92788637105,1.832025956,12.0,5,5,10,0.0,0.0,0.0,0.0
2015-02-27,300,270,294,266,53,4,4.0,0.92604313645,1.638669291,12.0,2,5,10,0.0,1.0,0.0,0.0
2015-08-31,300,263,292,256,51,5,4.0,0.84370960035,1.402314721,14.0,9,5,9,0.0,0.0,0.0,0.0
2016-02-29,300,250,285,236,47,3,4.0,0.8448535927,1.60011103,13.0,15,2,20,0.0,0.0,0.0,0.0
2016-08-31,300,256,286,244,49,3,4.0,0.8513567342,1.46325268,14.0,13,13,4,0.0,0.0,0.0,0.0
2017-02-28,300,262,284,248,50,2,4.0,0.95385161475,1.572481506,14.0,6,11,7,0.0,0.0,0.0,0.0
2017-08-31,300,274,276,252,50,0,3.832471259,0.94724514255,1.839530246,15.0,4,5,2,0.0,0.0,0.0,0.0
2018-02-28,300,273,286,266,53,1,4.0,0.8441779871,1.773040996,14.0,5,5,3,0.0,0.0,0.0,0.0
2018-08-31,300,272,283,260,52,3,4.0,0.8710989261,1.664659976,12.0,6,1,9,0.0,0.0,0.0,0.0
2019-02-28,300,273,288,265,53,1,4.0,0.8645033134,1.594737116,10.0,4,6,7,0.0,0.0,0.0,0.0
2019-08-30,300,273,293,266,53,2,4.0,0.8703556196,1.673348264,9.0,6,5,7,0.0,0.0,0.0,0.0
2020-02-28,300,280,294,274,55,5,4.0,0.82501947835,1.40052714,9.0,3,5,3,0.0,0.0,0.0,0.0
2020-08-31,300,273,295,269,54,2,4.0,0.8185963613,1.497626287,7.0,8,3,9,0.0,0.0,0.0,0.0
2021-02-26,300,281,295,276,55,5,4.0,0.7472466894,1.600641012,7.0,3,4,5,0.0,0.0,0.0,0.0
2021-08-31,300,276,299,275,55,4,4.0,0.8102107446,1.552993547,2.0,10,6,6,0.0,0.0,0.0,0.0
2022-02-28,300,278,296,274,55,4,4.0,0.8577995968500001,1.548438287,1.0,11,4,6,0.0,0.0,0.0,0.0
2022-08-31,300,275,295,270,54,1,4.0,0.8598347932,1.599654101,1.0,12,3,9,0.0,0.0,0.0,0.0
2023-02-28,300,277,300,277,55,3,4.0,0.8704089743,1.685710443,1.0,11,5,6,0.0,0.0,0.0,0.0
2023-08-31,300,277,300,277,55,0,3.954442702,0.9006163111,1.862510985,1.0,10,6,6,0.0,0.0,0.0,0.0
2024-02-29,300,277,299,276,55,1,4.0,0.9177271187,1.668748803,1.0,8,8,6,0.0,0.0,0.0,0.0
2024-08-30,300,270,299,269,54,4,4.0,0.8641362153,1.578635028,1.0,12,7,10,0.0,0.0,0.0,0.0
2025-02-28,300,270,300,270,54,1,4.0,0.88294287295,1.708193621,1.0,14,7,8,0.0,0.0,0.0,0.0
2025-08-29,300,272,299,271,54,4,4.0,0.89693658,1.538085895,0.0,22,3,3,0.0,0.0,0.0,0.0
2026-02-27,300,275,299,274,55,5,4.0,0.8291852697,1.479778297,0.0,13,9,3,0.0,0.0,0.0,0.0
2026-08-31,300,272,299,271,54,3,4.0,0.8522419875,1.552043463,0.0,19,4,5,0.0,0.0,0.0,0.0
