reference_date,effective_date,n,max_weight,top10_weight,effective_n,n_capped,n_buffer,csi300_weight_covered,avg_active_weight_ratio,weight_in_top100_by_size,mean_momentum_score,min_momentum_score
2005-08-31,2005-09-16,46,0.090000,0.488783,26.019108,2,0,0.269363,3.712458,0.907162,2.570072,1.597808
2006-02-28,2006-03-17,45,0.090000,0.530505,25.067083,1,7,0.290792,3.438878,0.874916,2.612258,1.683956
2006-08-31,2006-09-15,48,0.090000,0.474903,27.879637,1,5,0.202313,4.942841,0.779205,2.547743,1.736985
2007-02-28,2007-03-16,49,0.090000,0.588079,21.509642,2,6,0.328013,3.048657,0.895687,2.456808,1.413450
2007-08-31,2007-09-21,49,0.090000,0.586277,21.244210,4,5,0.354902,2.817677,0.919453,2.516828,1.620217
2008-02-29,2008-03-21,48,0.051281,0.382903,36.983210,0,5,0.133119,7.512064,0.680801,2.539959,1.553570
2008-08-29,2008-09-19,49,0.090000,0.528345,24.334631,3,8,0.135720,7.368137,0.717624,2.493998,1.634392
2009-02-27,2009-03-20,48,0.090000,0.514118,26.428335,1,5,0.168593,5.931432,0.719373,2.459592,1.526995
2009-08-31,2009-09-18,46,0.090000,0.515240,24.231042,3,5,0.149917,6.670349,0.728193,2.509026,1.738165
2010-02-26,2010-03-19,48,0.090000,0.464783,27.904371,2,6,0.106597,9.381105,0.592495,2.503474,1.637980
2010-08-31,2010-09-17,50,0.090000,0.491359,28.427335,1,5,0.111642,8.957234,0.634957,2.545963,1.550394
2011-02-28,2011-03-18,50,0.090000,0.448367,30.499527,1,9,0.109669,9.118380,0.762279,2.510410,1.549120
2011-08-31,2011-09-16,51,0.090000,0.505975,25.846924,2,4,0.151019,6.621701,0.816392,2.544646,1.662954
2012-02-29,2012-03-16,52,0.090000,0.593310,21.203887,3,7,0.332224,3.010017,0.907096,2.460542,1.733011
2012-08-31,2012-09-21,51,0.090000,0.591785,21.992507,2,6,0.215312,4.644416,0.885666,2.551128,1.739293
2013-02-28,2013-03-15,51,0.090000,0.531322,25.400097,2,9,0.159202,6.281327,0.782488,2.532140,1.539961
2013-08-30,2013-09-18,51,0.090000,0.474479,28.935449,1,5,0.122264,8.178997,0.702414,2.540790,1.595224
2014-02-28,2014-03-21,51,0.087840,0.438256,32.190554,0,9,0.105434,9.484636,0.591045,2.502889,1.829550
2014-08-29,2014-09-19,52,0.090000,0.515287,25.859546,2,1,0.155869,6.415643,0.752307,2.434837,1.832026
2015-02-27,2015-03-20,53,0.090000,0.549710,24.694931,2,5,0.268212,3.728399,0.897553,2.446272,1.638669
2015-08-31,2015-09-18,51,0.087300,0.472104,29.652272,0,6,0.168662,5.929006,0.824875,2.615574,1.402315
2016-02-29,2016-03-18,47,0.090000,0.566210,23.003792,3,2,0.142751,7.005223,0.708604,2.418114,1.600111
2016-08-31,2016-09-14,49,0.090000,0.576675,22.927003,2,5,0.207241,4.825292,0.802466,2.360797,1.463253
2017-02-28,2017-03-17,50,0.090000,0.540044,24.544375,2,2,0.287951,3.472810,0.905232,2.456822,1.572482
2017-08-31,2017-09-15,50,0.090000,0.625463,20.056276,3,7,0.395447,2.528783,0.953795,2.437177,1.839530
2018-02-28,2018-03-16,53,0.090000,0.649553,19.426609,4,6,0.423801,2.359597,0.949254,2.556532,1.773041
2018-08-31,2018-09-21,52,0.090000,0.559783,23.343347,2,10,0.262240,3.813299,0.894144,2.470283,1.664660
2019-02-28,2019-03-15,53,0.090000,0.509336,25.133147,2,6,0.181375,5.513454,0.700783,2.573632,1.594737
2019-08-30,2019-09-20,53,0.090000,0.590238,21.284067,2,5,0.309376,3.232316,0.879566,2.418686,1.673348
2020-02-28,2020-03-20,55,0.090000,0.547001,23.489123,1,9,0.257963,3.876526,0.828499,2.410432,1.400527
2020-08-31,2020-09-18,54,0.090000,0.515816,26.336417,1,11,0.293671,3.405167,0.835927,2.592310,1.497626
2021-02-26,2021-03-19,55,0.090000,0.534677,25.147148,2,4,0.329181,3.037839,0.899674,2.591716,1.600641
2021-08-31,2021-09-17,55,0.071032,0.437205,34.277587,0,8,0.244355,4.092403,0.873396,2.376464,1.552994
2022-02-28,2022-03-18,55,0.090000,0.455440,29.367273,2,2,0.220212,4.541076,0.730611,2.471023,1.548438
2022-08-31,2022-09-16,54,0.090000,0.531621,24.590332,1,7,0.276511,3.616496,0.769533,2.540959,1.599654
2023-02-28,2023-03-17,55,0.090000,0.483734,28.914258,1,6,0.210699,4.746109,0.744771,2.505068,1.685710
2023-08-31,2023-09-15,55,0.090000,0.569968,22.653381,2,3,0.291659,3.428660,0.855297,2.504615,1.862511
2024-02-29,2024-03-15,55,0.090000,0.613446,20.384933,4,10,0.330438,3.026291,0.851946,2.482549,1.668749
2024-08-30,2024-09-20,54,0.090000,0.623765,19.304873,4,5,0.345864,2.891309,0.877971,2.528923,1.578635
2025-02-28,2025-03-21,54,0.090000,0.596589,21.802058,2,8,0.333865,2.995219,0.837107,2.510514,1.708194
2025-08-29,2025-09-19,54,0.090000,0.520273,25.147173,2,8,0.328761,3.041720,0.869828,2.445850,1.538086
2026-02-27,2026-03-20,55,0.090000,0.541166,24.149291,2,7,0.267955,3.731974,0.826221,2.515283,1.479778
