,win_nocap,win_cap,win_nocap_projcost,full_nocap,full_cap,full_nocap_projcost
2005-09-16,,,,99.850000,99.850000,99.719000
2005-09-19,,,,99.537965,99.563605,99.407374
2005-09-20,,,,98.717579,98.800185,98.588065
2005-09-21,,,,97.411956,97.325965,97.284155
2005-09-22,,,,96.047087,96.016263,95.921076
2005-09-23,,,,95.942442,95.755442,95.816569
2005-09-26,,,,96.149688,96.109044,96.023543
2005-09-27,,,,95.858326,95.906669,95.732563
2005-09-28,,,,96.047402,96.376597,95.921391
2005-09-29,,,,97.110346,97.381439,96.982940
2005-09-30,,,,97.580326,97.744746,97.452304
2005-10-10,,,,97.222523,96.835260,97.094971
2005-10-11,,,,97.822694,97.912471,97.694354
2005-10-12,,,,98.717546,98.742873,98.588032
2005-10-13,,,,97.594205,97.892640,97.466164
2005-10-14,,,,95.713531,96.702503,95.587958
2005-10-17,,,,95.686391,96.761915,95.560854
2005-10-18,,,,96.181636,97.291973,96.055449
2005-10-19,,,,96.307628,97.214835,96.181275
2005-10-20,,,,96.453979,97.794394,96.327434
2005-10-21,,,,96.836115,98.132818,96.709070
2005-10-24,,,,97.292888,98.500691,97.165243
2005-10-25,,,,95.643159,97.290361,95.517679
2005-10-26,,,,94.604670,96.085891,94.480552
2005-10-27,,,,94.780068,96.133368,94.655720
2005-10-28,,,,94.108293,95.652924,93.984826
2005-10-31,,,,95.147116,96.736953,94.940836
2005-11-01,,,,94.230439,96.541706,94.026147
2005-11-02,,,,94.465020,96.775988,94.260219
2005-11-03,,,,91.745188,94.285415,91.546284
2005-11-04,,,,91.687340,94.485549,91.488561
2005-11-07,,,,91.329954,93.938353,91.131950
2005-11-08,,,,91.665720,94.224060,91.466988
2005-11-09,,,,91.555645,94.448583,91.357152
2005-11-10,,,,90.045983,93.491126,89.850763
2005-11-11,,,,90.221832,93.726761,90.026230
2005-11-14,,,,89.289622,93.144647,89.096041
2005-11-15,,,,88.419658,92.381859,88.227964
2005-11-16,,,,88.959202,92.533845,88.766338
2005-11-17,,,,88.744055,92.587689,88.551658
2005-11-18,,,,90.328407,94.109928,90.132575
2005-11-21,,,,90.991020,94.488380,90.793751
2005-11-22,,,,90.294916,93.811413,90.099156
2005-11-23,,,,90.921314,94.676720,90.724196
2005-11-24,,,,90.702965,94.620745,90.506320
2005-11-25,,,,90.647355,94.560873,90.450831
2005-11-28,,,,89.946507,94.107406,89.751502
2005-11-29,,,,88.978871,93.241476,88.785965
2005-11-30,,,,89.101408,92.459588,88.908236
2005-12-01,,,,88.117873,91.473582,87.926833
2005-12-02,,,,88.196411,91.308243,88.005201
2005-12-05,,,,88.066829,90.402288,87.875900
2005-12-06,,,,88.494233,90.541398,88.302377
2005-12-07,,,,89.708426,91.474807,89.513937
2005-12-08,,,,90.204242,91.567559,90.008679
2005-12-09,,,,91.326676,93.066036,91.128680
2005-12-12,,,,90.981054,92.477970,90.783807
2005-12-13,,,,90.599376,92.055207,90.402957
2005-12-14,,,,92.201774,93.322127,92.001880
2005-12-15,,,,92.192719,93.451584,91.992845
2005-12-16,,,,92.840659,94.192923,92.639380
2005-12-19,,,,92.647019,93.955033,92.446160
2005-12-20,,,,92.901572,94.734792,92.700161
2005-12-21,,,,93.146992,95.041709,92.945049
2005-12-22,,,,94.466621,96.018780,94.261817
2005-12-23,,,,95.674529,97.426827,95.467106
2005-12-26,,,,96.213754,97.660096,96.005162
2005-12-27,,,,96.178784,97.258551,95.970268
2005-12-28,,,,96.514292,97.434814,96.305049
2005-12-29,,,,97.581834,98.640783,97.370276
2005-12-30,,,,97.018797,97.612784,96.808460
2006-01-04,,,,96.659496,99.169906,96.449937
2006-01-05,,,,98.927720,101.577665,98.713244
2006-01-06,,,,100.250806,103.822093,100.033462
2006-01-09,,,,100.015784,103.606827,99.798950
2006-01-10,,,,99.462724,103.468664,99.247089
2006-01-11,,,,99.490116,103.607589,99.274421
2006-01-12,,,,99.824831,103.895500,99.608410
2006-01-13,,,,98.952629,103.285437,98.738099
2006-01-16,,,,97.735500,101.531292,97.523609
2006-01-17,,,,97.951583,102.005024,97.739224
2006-01-18,,,,99.392678,104.168428,99.177194
2006-01-19,,,,99.611877,104.158786,99.395918
2006-01-20,,,,99.249576,103.749960,99.034403
2006-01-23,,,,97.830589,103.438644,97.618492
2006-01-24,,,,97.466723,103.974794,97.255415
2006-01-25,,,,99.467122,106.386770,99.105434
2006-02-06,,,,102.215440,109.995140,101.843759
2006-02-07,,,,101.050056,109.181908,100.682613
2006-02-08,,,,100.080756,108.101986,99.716837
2006-02-09,,,,97.997851,106.084769,97.641505
