Date,beta,tracking_error,rolling_excess_1y,information_ratio
2006-10-09,0.938674,0.084780,-0.022425,-0.167730
2006-10-10,0.939078,0.084476,-0.013896,-0.099784
2006-10-11,0.939367,0.084486,-0.018605,-0.136391
2006-10-12,0.941754,0.085693,-0.040183,-0.300456
2006-10-13,0.946796,0.085270,-0.064436,-0.481718
2006-10-16,0.949953,0.085508,-0.082774,-0.624795
2006-10-17,0.948797,0.086053,-0.070605,-0.527618
2006-10-18,0.951284,0.085682,-0.090555,-0.666020
2006-10-19,0.951405,0.085709,-0.089711,-0.657899
2006-10-20,0.951332,0.085708,-0.087755,-0.651489
2006-10-23,0.952901,0.085685,-0.091504,-0.698043
2006-10-24,0.954034,0.085580,-0.102706,-0.762603
2006-10-25,0.955975,0.086359,-0.077539,-0.564283
2006-10-26,0.955101,0.086750,-0.089150,-0.650180
2006-10-27,0.956907,0.087013,-0.094580,-0.692302
2006-10-30,0.955153,0.087219,-0.101890,-0.734208
2006-10-31,0.953677,0.087513,-0.117941,-0.837117
2006-11-01,0.954512,0.087583,-0.112191,-0.788578
2006-11-02,0.955170,0.087504,-0.121541,-0.855521
2006-11-03,0.955120,0.087446,-0.129529,-0.911965
2006-11-06,0.951638,0.088496,-0.148121,-1.031708
2006-11-07,0.951114,0.088740,-0.157962,-1.098771
2006-11-08,0.947436,0.089502,-0.142000,-0.971014
2006-11-09,0.945613,0.090103,-0.174456,-1.153995
2006-11-10,0.945977,0.090046,-0.176490,-1.186452
2006-11-13,0.945484,0.090061,-0.174106,-1.181617
2006-11-14,0.945416,0.090003,-0.176780,-1.199029
2006-11-15,0.944856,0.090027,-0.188553,-1.243387
2006-11-16,0.945762,0.090064,-0.161535,-1.065991
2006-11-17,0.939222,0.091124,-0.182748,-1.169582
2006-11-20,0.934568,0.091933,-0.205095,-1.292266
2006-11-21,0.935223,0.091841,-0.189589,-1.172213
2006-11-22,0.936478,0.092271,-0.170104,-1.035417
2006-11-23,0.936730,0.092194,-0.190696,-1.159407
2006-11-24,0.938746,0.092967,-0.182500,-1.072195
2006-11-27,0.940542,0.093560,-0.168409,-0.968943
2006-11-28,0.938906,0.093204,-0.148230,-0.851372
2006-11-29,0.943680,0.095043,-0.114662,-0.618179
2006-11-30,0.944455,0.094735,-0.105336,-0.554588
2006-12-01,0.946360,0.095723,-0.079912,-0.402471
2006-12-04,0.940967,0.096359,-0.096136,-0.486182
2006-12-05,0.941023,0.096296,-0.104488,-0.528669
2006-12-06,0.946156,0.095987,-0.132965,-0.678117
2006-12-07,0.948105,0.097351,-0.162003,-0.832474
2006-12-08,0.944405,0.097465,-0.134999,-0.718020
2006-12-11,0.943992,0.097496,-0.143243,-0.732633
2006-12-12,0.943959,0.097537,-0.155558,-0.789936
2006-12-13,0.943366,0.097675,-0.146498,-0.731461
2006-12-14,0.949661,0.098926,-0.093382,-0.435218
2006-12-15,0.953651,0.099756,-0.062230,-0.268903
2006-12-18,0.961377,0.100913,-0.027219,-0.091673
2006-12-19,0.962822,0.101290,-0.059656,-0.234982
2006-12-20,0.963578,0.101428,-0.042957,-0.158492
2006-12-21,0.965284,0.101514,-0.055705,-0.221114
2006-12-22,0.966849,0.101686,-0.072734,-0.301570
2006-12-25,0.966008,0.101728,-0.075524,-0.312318
2006-12-26,0.966106,0.101693,-0.073431,-0.303243
2006-12-27,0.967063,0.101671,-0.064653,-0.255457
2006-12-28,0.965643,0.101894,-0.055761,-0.217917
2006-12-29,0.963156,0.102023,-0.075282,-0.297609
2007-01-04,0.959466,0.103625,-0.120563,-0.491188
2007-01-05,0.959328,0.103604,-0.115983,-0.469709
2007-01-08,0.955561,0.103942,-0.135155,-0.541374
2007-01-09,0.956501,0.103836,-0.153106,-0.596683
2007-01-10,0.961040,0.104249,-0.141385,-0.531673
2007-01-11,0.957149,0.105020,-0.115453,-0.432416
2007-01-12,0.943901,0.107726,-0.040493,-0.134769
2007-01-15,0.949414,0.107738,-0.025281,-0.067044
2007-01-16,0.957052,0.108666,0.000592,0.034245
2007-01-17,0.959738,0.108827,-0.021484,-0.046928
2007-01-18,0.958970,0.112018,0.049997,0.212015
2007-01-19,0.961012,0.112063,0.054286,0.225020
2007-01-22,0.955642,0.111692,0.015502,0.086248
2007-01-23,0.955279,0.114286,-0.031480,-0.073161
2007-01-24,0.956468,0.114521,-0.003040,0.024896
2007-01-25,0.954690,0.114595,0.011781,0.074811
2007-01-26,0.953799,0.114650,-0.003818,0.020268
2007-01-29,0.949676,0.115297,-0.021376,-0.039862
2007-01-30,0.949066,0.115306,-0.012174,-0.009616
2007-01-31,0.959844,0.115409,-0.033573,-0.083118
2007-02-01,0.959917,0.115860,-0.010713,-0.001727
2007-02-02,0.959518,0.115834,0.009527,0.070080
2007-02-05,0.959175,0.115775,0.029132,0.143992
2007-02-06,0.954414,0.117335,-0.006168,0.010266
2007-02-07,0.953657,0.117220,0.000808,0.035189
2007-02-08,0.953700,0.117140,-0.011143,-0.007484
2007-02-09,0.952275,0.116833,-0.024088,-0.056424
2007-02-12,0.956247,0.116946,-0.006611,0.009496
2007-02-13,0.955442,0.117049,-0.018134,-0.031011
2007-02-14,0.955721,0.116875,-0.002581,0.023704
2007-02-15,0.958692,0.116989,0.006389,0.055049
2007-02-16,0.958466,0.117713,-0.035247,-0.082190
2007-02-26,0.957855,0.117888,-0.086862,-0.252284
2007-02-27,0.965831,0.117900,-0.087658,-0.284956
2007-02-28,0.964415,0.117917,-0.091319,-0.289106
2007-03-01,0.966425,0.117832,-0.103722,-0.336024
2007-03-02,0.967066,0.117922,-0.092736,-0.290460
2007-03-05,0.968413,0.118013,-0.096442,-0.307715
2007-03-06,0.970727,0.118018,-0.066623,-0.197633
2007-03-07,0.975712,0.119110,-0.025377,-0.043277
2007-03-08,0.977154,0.119525,0.004656,0.059524
2007-03-09,0.978091,0.119778,-0.022360,-0.030839
2007-03-12,0.977151,0.118898,0.008737,0.073121
2007-03-13,0.976891,0.118940,-0.004272,0.029087
2007-03-14,0.977744,0.118892,-0.021912,-0.031649
2007-03-15,0.974985,0.118291,0.016525,0.096586
2007-03-16,0.973472,0.118473,0.034914,0.158230
2007-03-19,0.974313,0.118527,0.045742,0.191263
2007-03-20,0.975472,0.119151,0.000041,0.042730
2007-03-21,0.975145,0.119164,-0.002581,0.034278
2007-03-22,0.975708,0.119091,-0.022657,-0.028315
2007-03-23,0.975837,0.119174,-0.038409,-0.078179
2007-03-26,0.974872,0.119250,-0.056942,-0.136516
2007-03-27,0.974522,0.119585,-0.081493,-0.211812
2007-03-28,0.974738,0.119705,-0.060270,-0.145539
2007-03-29,0.972898,0.120959,-0.021586,-0.024340
2007-03-30,0.972361,0.120801,-0.008634,0.015177
2007-04-02,0.973564,0.120886,0.001134,0.045810
2007-04-03,0.973916,0.120870,-0.000838,0.040074
2007-04-04,0.974151,0.120996,0.009312,0.070571
2007-04-05,0.974124,0.120972,-0.004479,0.029523
2007-04-06,0.974308,0.120990,-0.027356,-0.037120
2007-04-09,0.974225,0.120991,-0.031304,-0.047552
2007-04-10,0.974721,0.121048,-0.020761,-0.016095
2007-04-11,0.974852,0.121041,-0.015907,-0.001957
2007-04-12,0.974812,0.121046,-0.029053,-0.037310
2007-04-13,0.974305,0.121201,-0.009469,0.016646
2007-04-16,0.973591,0.121071,-0.025459,-0.027973
2007-04-17,0.973220,0.121777,-0.051263,-0.098937
2007-04-18,0.972840,0.121829,-0.077763,-0.173885
2007-04-19,0.972217,0.121749,-0.080640,-0.195064
2007-04-20,0.970215,0.121793,-0.087266,-0.205372
2007-04-23,0.965807,0.122025,-0.095567,-0.223939
2007-04-24,0.965874,0.122298,-0.112133,-0.269245
2007-04-25,0.965377,0.122272,-0.097743,-0.228007
2007-04-26,0.965540,0.122361,-0.086217,-0.188038
2007-04-27,0.966780,0.122392,-0.087001,-0.195852
2007-04-30,0.967484,0.122403,-0.077948,-0.166703
2007-05-08,0.966771,0.122277,-0.107941,-0.239670
2007-05-09,0.966595,0.121765,-0.139192,-0.324302
2007-05-10,0.966933,0.121942,-0.182809,-0.434973
2007-05-11,0.964466,0.121928,-0.179221,-0.436253
2007-05-14,0.967997,0.121381,-0.192286,-0.464522
2007-05-15,0.969372,0.120997,-0.215533,-0.549427
2007-05-16,0.970008,0.120633,-0.194038,-0.482808
2007-05-17,0.971344,0.120785,-0.184239,-0.443425
2007-05-18,0.970863,0.120708,-0.220028,-0.550339
2007-05-21,0.968096,0.121182,-0.254858,-0.663523
2007-05-22,0.969398,0.121140,-0.248878,-0.657605
2007-05-23,0.969498,0.121109,-0.245314,-0.643004
2007-05-24,0.968264,0.121681,-0.214107,-0.548606
2007-05-25,0.970893,0.122038,-0.169639,-0.427303
2007-05-28,0.970374,0.122040,-0.167761,-0.431885
2007-05-29,0.967984,0.121771,-0.154476,-0.379404
2007-05-30,0.971370,0.121255,-0.118171,-0.304543
2007-05-31,0.971845,0.121496,-0.096696,-0.236121
2007-06-01,0.965455,0.123024,-0.020605,-0.025275
2007-06-04,0.961206,0.121287,0.061571,0.225431
2007-06-05,0.965563,0.121532,0.077992,0.262749
2007-06-06,0.967283,0.120339,0.017648,0.085101
2007-06-07,0.966127,0.119872,0.042295,0.152399
2007-06-08,0.966620,0.119896,0.059892,0.204069
2007-06-11,0.966922,0.119874,0.063573,0.215171
2007-06-12,0.964910,0.120022,0.023542,0.097507
2007-06-13,0.963922,0.120018,0.025073,0.098955
2007-06-14,0.965002,0.119909,0.039027,0.142292
2007-06-15,0.962756,0.118970,0.077452,0.246909
2007-06-18,0.963174,0.118657,0.102844,0.312090
2007-06-19,0.961338,0.116630,0.158075,0.461503
2007-06-20,0.964350,0.116407,0.144949,0.416683
2007-06-21,0.964697,0.116597,0.173187,0.487734
2007-06-22,0.963605,0.116692,0.178951,0.506252
2007-06-25,0.959039,0.116887,0.179373,0.524117
2007-06-26,0.958461,0.117134,0.150552,0.439260
2007-06-27,0.958051,0.117123,0.159923,0.447555
2007-06-28,0.957735,0.117128,0.153678,0.449340
2007-06-29,0.955195,0.116810,0.128618,0.397338
2007-07-02,0.955588,0.117009,0.106608,0.338132
2007-07-03,0.955614,0.117010,0.108053,0.336933
2007-07-04,0.953985,0.117116,0.134626,0.419093
2007-07-05,0.948592,0.117723,0.168221,0.535177
2007-07-06,0.949804,0.117700,0.183799,0.559867
2007-07-09,0.950646,0.117707,0.195413,0.587334
2007-07-10,0.948825,0.118432,0.228277,0.683095
2007-07-11,0.948577,0.118437,0.229050,0.682136
2007-07-12,0.948984,0.118393,0.234791,0.709811
2007-07-13,0.949082,0.118414,0.226276,0.684373
2007-07-16,0.950572,0.118454,0.196437,0.629043
2007-07-17,0.952770,0.118852,0.225237,0.695092
2007-07-18,0.951668,0.118720,0.240191,0.726138
2007-07-19,0.952090,0.118653,0.249672,0.766986
2007-07-20,0.954914,0.118811,0.279580,0.816328
2007-07-23,0.955500,0.118793,0.283745,0.794226
2007-07-24,0.955417,0.118819,0.296770,0.830724
2007-07-25,0.954316,0.119043,0.260717,0.718618
2007-07-26,0.955390,0.119066,0.279045,0.723592
2007-07-27,0.955670,0.119311,0.251065,0.658953
2007-07-30,0.955874,0.119285,0.261448,0.676651
2007-07-31,0.955524,0.119194,0.273813,0.699827
2007-08-01,0.952526,0.119376,0.303487,0.774883
2007-08-02,0.953700,0.119407,0.327032,0.810972
2007-08-03,0.959652,0.120950,0.385717,0.916580
2007-08-06,0.959240,0.120904,0.356519,0.835347
2007-08-07,0.959349,0.120887,0.360091,0.849116
2007-08-08,0.958062,0.120831,0.406453,0.957879
2007-08-09,0.959127,0.121187,0.476075,1.071933
2007-08-10,0.960912,0.122051,0.425017,0.961171
2007-08-13,0.960735,0.122419,0.403071,0.884647
2007-08-14,0.961390,0.122404,0.410520,0.879874
2007-08-15,0.960844,0.122422,0.444136,0.940279
2007-08-16,0.960873,0.122381,0.448954,0.961714
2007-08-17,0.962532,0.122463,0.420083,0.902795
2007-08-20,0.969587,0.122832,0.468716,0.940577
2007-08-21,0.970135,0.122848,0.486544,0.978240
2007-08-22,0.969933,0.122852,0.493403,0.975733
2007-08-23,0.970221,0.122918,0.506443,0.998560
2007-08-24,0.969812,0.122972,0.503759,0.981729
2007-08-27,0.969921,0.123204,0.477478,0.909532
2007-08-28,0.970331,0.123721,0.418832,0.814831
2007-08-29,0.970828,0.123741,0.387487,0.779580
2007-08-30,0.970563,0.123746,0.394038,0.775218
2007-08-31,0.970493,0.123831,0.367946,0.718732
2007-09-03,0.969546,0.124012,0.328362,0.633908
2007-09-04,0.969885,0.124008,0.295194,0.587223
2007-09-05,0.970278,0.124245,0.258604,0.519964
2007-09-06,0.970205,0.124269,0.251294,0.504690
2007-09-07,0.971897,0.124422,0.223608,0.465035
2007-09-10,0.971147,0.124440,0.197036,0.417275
2007-09-11,0.972761,0.124406,0.165587,0.374873
2007-09-12,0.972324,0.124515,0.149573,0.338426
2007-09-13,0.972783,0.124521,0.155711,0.343368
2007-09-14,0.973028,0.124512,0.144282,0.314714
2007-09-17,0.971884,0.124811,0.098352,0.224584
2007-09-18,0.972547,0.125060,0.069478,0.170516
2007-09-19,0.973164,0.125120,0.050225,0.135121
2007-09-20,0.973433,0.125106,0.028529,0.091013
2007-09-21,0.973453,0.125086,0.021790,0.078303
2007-09-24,0.973665,0.125483,0.065578,0.162829
2007-09-25,0.972926,0.125583,0.100132,0.231255
2007-09-26,0.971809,0.125701,0.126579,0.283421
2007-09-27,0.971667,0.125744,0.109281,0.247062
2007-09-28,0.972768,0.125559,0.145690,0.315146
2007-10-08,0.973836,0.127087,0.209083,0.429975
2007-10-09,0.974016,0.127174,0.173185,0.363260
2007-10-10,0.974243,0.127207,0.149072,0.318401
2007-10-11,0.974383,0.127176,0.144497,0.308353
2007-10-12,0.975774,0.126932,0.091963,0.211635
2007-10-15,0.974593,0.127819,0.033290,0.099936
2007-10-16,0.973842,0.128325,0.128206,0.266929
2007-10-17,0.974694,0.128335,0.124224,0.264812
2007-10-18,0.973104,0.127869,0.088158,0.206112
2007-10-19,0.972705,0.128075,0.114582,0.258212
2007-10-22,0.969372,0.128735,0.158585,0.352138
2007-10-23,0.969172,0.128746,0.157787,0.346846
2007-10-24,0.969208,0.128880,0.192623,0.410606
2007-10-25,0.960675,0.129354,0.320362,0.664177
2007-10-26,0.961271,0.130030,0.405723,0.816653
2007-10-29,0.959227,0.130031,0.418805,0.816491
2007-10-30,0.959402,0.129830,0.361973,0.702485
2007-10-31,0.960437,0.130025,0.411940,0.791473
2007-11-01,0.960310,0.130006,0.401592,0.784415
2007-11-02,0.959840,0.130041,0.406716,0.810752
2007-11-05,0.962971,0.131139,0.342909,0.690077
2007-11-06,0.962608,0.131229,0.360419,0.741754
2007-11-07,0.962691,0.130717,0.321716,0.669479
2007-11-08,0.965334,0.130484,0.321524,0.706910
2007-11-09,0.964515,0.130236,0.344525,0.752681
2007-11-12,0.962564,0.130843,0.422278,0.916061
2007-11-13,0.964405,0.131228,0.394786,0.876966
2007-11-14,0.963303,0.131283,0.378725,0.819136
2007-11-15,0.963098,0.131267,0.388528,0.848275
2007-11-16,0.964373,0.131467,0.360017,0.805939
2007-11-19,0.966195,0.131530,0.351513,0.801344
2007-11-20,0.966185,0.131324,0.379354,0.852935
2007-11-21,0.967535,0.130872,0.340616,0.778049
2007-11-22,0.971486,0.130394,0.342005,0.833565
2007-11-23,0.971526,0.130402,0.359885,0.849003
2007-11-26,0.972224,0.130401,0.344569,0.811374
2007-11-27,0.973798,0.130684,0.296389,0.727671
2007-11-28,0.974103,0.130652,0.301700,0.767497
2007-11-29,0.976384,0.130586,0.309228,0.758102
2007-11-30,0.977702,0.129712,0.353890,0.894788
2007-12-03,0.979325,0.129243,0.416889,1.054153
2007-12-04,0.979106,0.129186,0.403659,1.024245
2007-12-05,0.979175,0.128914,0.386155,0.967728
2007-12-06,0.979242,0.128779,0.407525,1.022138
2007-12-07,0.979415,0.128188,0.360446,0.907922
2007-12-10,0.977980,0.128287,0.292963,0.744648
2007-12-11,0.978321,0.128512,0.260997,0.666472
2007-12-12,0.978667,0.127833,0.155571,0.431035
2007-12-13,0.981584,0.128035,0.128201,0.387853
2007-12-14,0.981203,0.127335,0.090551,0.285990
2007-12-17,0.987186,0.128007,0.067064,0.239051
2007-12-18,0.987018,0.128032,0.075989,0.266668
2007-12-19,0.986286,0.127931,0.089159,0.295330
2007-12-20,0.985918,0.126896,0.152428,0.460707
2007-12-21,0.987357,0.126805,0.129430,0.384860
2007-12-24,0.989098,0.126950,0.156623,0.465031
2007-12-25,0.989267,0.126959,0.154893,0.462835
2007-12-26,0.989219,0.126981,0.126068,0.384743
2007-12-27,0.987948,0.125774,0.087467,0.283689
