目标波动,估计窗口,CAGR,波动,Sharpe,最大回撤,平均仓位,叠加换手/年
无（基准 A）,,0.046516,0.259098,0.306208,-0.658052,1.000000,0.000000
扩展窗口（无前视）,63.000000,0.061586,0.238044,0.371421,-0.569342,0.965694,0.364716
扩展窗口（无前视）,126.000000,0.065433,0.240730,0.384993,-0.561591,0.971469,0.198810
扩展窗口（无前视）,252.000000,0.055095,0.246588,0.342012,-0.594522,0.975765,0.110732
全样本波动（含前视）,63.000000,0.062022,0.222316,0.383213,-0.485152,0.930983,0.773801
全样本波动（含前视）,126.000000,0.071472,0.224818,0.420919,-0.472188,0.935633,0.407290
全样本波动（含前视）,252.000000,0.063572,0.229241,0.384817,-0.475362,0.937055,0.219141
固定 25%,63.000000,0.062397,0.213709,0.391481,-0.482519,0.907615,0.952296
固定 25%,126.000000,0.070606,0.215752,0.425536,-0.469729,0.909357,0.520837
固定 25%,252.000000,0.067752,0.220872,0.408637,-0.450610,0.912224,0.272517
